MutationType	Liver-HCC::S.1	Liver-HCC::S.2	Liver-HCC::S.3	Liver-HCC::S.4	Liver-HCC::S.5	Liver-HCC::S.6	Liver-HCC::S.7	Liver-HCC::S.8	Liver-HCC::S.9	Liver-HCC::S.10	Liver-HCC::S.11	Liver-HCC::S.12	Liver-HCC::S.13	Liver-HCC::S.14	Liver-HCC::S.15	Liver-HCC::S.16	Liver-HCC::S.17	Liver-HCC::S.18	Liver-HCC::S.19	Liver-HCC::S.20	Liver-HCC::S.21	Liver-HCC::S.22	Liver-HCC::S.23	Liver-HCC::S.24	Liver-HCC::S.25	Liver-HCC::S.26	Liver-HCC::S.27	Liver-HCC::S.28	Liver-HCC::S.29	Liver-HCC::S.30	Liver-HCC::S.31	Liver-HCC::S.32	Liver-HCC::S.33	Liver-HCC::S.34	Liver-HCC::S.35	Liver-HCC::S.36	Liver-HCC::S.37	Liver-HCC::S.38	Liver-HCC::S.39	Liver-HCC::S.40	Liver-HCC::S.41	Liver-HCC::S.42	Liver-HCC::S.43	Liver-HCC::S.44	Liver-HCC::S.45	Liver-HCC::S.46	Liver-HCC::S.47	Liver-HCC::S.48	Liver-HCC::S.49	Liver-HCC::S.50	Liver-HCC::S.51	Liver-HCC::S.52	Liver-HCC::S.53	Liver-HCC::S.54	Liver-HCC::S.55	Liver-HCC::S.56	Liver-HCC::S.57	Liver-HCC::S.58	Liver-HCC::S.59	Liver-HCC::S.60	Liver-HCC::S.61	Liver-HCC::S.62	Liver-HCC::S.63	Liver-HCC::S.64	Liver-HCC::S.65	Liver-HCC::S.66	Liver-HCC::S.67	Liver-HCC::S.68	Liver-HCC::S.69	Liver-HCC::S.70	Liver-HCC::S.71	Liver-HCC::S.72	Liver-HCC::S.73	Liver-HCC::S.74	Liver-HCC::S.75	Liver-HCC::S.76	Liver-HCC::S.77	Liver-HCC::S.78	Liver-HCC::S.79	Liver-HCC::S.80	Liver-HCC::S.81	Liver-HCC::S.82	Liver-HCC::S.83	Liver-HCC::S.84	Liver-HCC::S.85	Liver-HCC::S.86	Liver-HCC::S.87	Liver-HCC::S.88	Liver-HCC::S.89	Liver-HCC::S.90	Liver-HCC::S.91	Liver-HCC::S.92	Liver-HCC::S.93	Liver-HCC::S.94	Liver-HCC::S.95	Liver-HCC::S.96	Liver-HCC::S.97	Liver-HCC::S.98	Liver-HCC::S.99
TC>CT	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	1	2	1	0	1	0	0	1	2	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	2	0	0	0	0	1	2	0	1	1	1	3	1	1	0	0	2
TC>GA	2	2	0	0	2	7	0	3	0	0	3	0	4	0	0	3	1	0	2	2	1	3	1	1	0	1	0	2	0	0	0	0	2	2	1	0	8	0	0	4	1	0	0	0	0	2	2	0	0	0	3	1	0	0	0	0	0	1	0	0	2	4	0	0	0	1	0	4	0	1	0	0	7	1	7	1	6	1	0	8	0	0	0	0	0	1	1	0	1	1	9	2	0	6	0	0	1	5	1
TC>GG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC>GT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG>AA	3	0	1	0	0	0	1	0	0	1	1	1	0	0	2	1	0	1	2	2	1	8	0	0	0	0	0	3	0	5	0	0	3	2	16	0	0	0	0	1	0	0	0	1	1	3	0	1	1	4	2	0	0	2	2	1	4	0	1	1	0	0	1	1	0	0	0	0	5	3	0	2	2	1	0	0	1	1	0	0	1	6	0	0	0	0	0	0	1	0	13	0	0	1	0	2	0	0	6
TG>AC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TG>AT	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	4	1	4	0	3	0	0	0	1	6	0	1	1	1	14	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	2	0	0	0	0	1	0	0	1	1	3	1	0	0	0	1	0	0	16	0	0	0	0	0	0	0	3	0	0	0	2	0	3	0	0	1	0	0	8	2	3	0	0	0	0	2	1	1	1
TG>CA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TG>CC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG>CT	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	0	1	0	0	3	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0
TG>GA	1	4	4	0	0	1	0	0	2	1	0	2	0	0	0	0	0	1	1	0	0	1	1	0	0	2	2	3	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	2	3	1	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	2	3	4	0	0	0	1	0	3	0	1	0	2	1	0	0	1	1	0	0	0	0	2	0	1	2
TG>GC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
TG>GT	4	1	2	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	4	1	13	21	0	0	4	0	1	0	1	1	0	1	0	2	35	0	0	0	2	2	0	0	0	0	0	1	0	0	2	1	1	1	0	2	2	0	1	1	0	1	1	3	0	0	0	0	1	1	31	1	0	0	0	0	0	0	2	0	0	1	0	13	1	0	1	0	0	4	11	4	11	0	1	0	0	4	1	1	0
TT>AA	0	1	0	1	0	3	0	0	0	1	1	0	2	1	0	0	0	0	2	0	0	3	1	0	1	1	1	1	0	1	0	1	2	0	0	0	2	0	8	1	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	2	2	1	2	0	0	1	4	0	0	2	0	0	6	1	0	0	0	0	3	3	0	0	0
TT>AC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TT>AG	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TT>CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT>CC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT>GA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT>GG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
