MutationType	Lung-AdenoCA::S.1	Lung-AdenoCA::S.2	Lung-AdenoCA::S.3	Lung-AdenoCA::S.4	Lung-AdenoCA::S.5	Lung-AdenoCA::S.6	Lung-AdenoCA::S.7	Lung-AdenoCA::S.8	Lung-AdenoCA::S.9	Lung-AdenoCA::S.10	Lung-AdenoCA::S.11	Lung-AdenoCA::S.12	Lung-AdenoCA::S.13	Lung-AdenoCA::S.14	Lung-AdenoCA::S.15	Lung-AdenoCA::S.16	Lung-AdenoCA::S.17	Lung-AdenoCA::S.18	Lung-AdenoCA::S.19	Lung-AdenoCA::S.20	Lung-AdenoCA::S.21	Lung-AdenoCA::S.22	Lung-AdenoCA::S.23	Lung-AdenoCA::S.24	Lung-AdenoCA::S.25	Lung-AdenoCA::S.26	Lung-AdenoCA::S.27	Lung-AdenoCA::S.28	Lung-AdenoCA::S.29	Lung-AdenoCA::S.30	Lung-AdenoCA::S.31	Lung-AdenoCA::S.32	Lung-AdenoCA::S.33	Lung-AdenoCA::S.34	Lung-AdenoCA::S.35	Lung-AdenoCA::S.36	Lung-AdenoCA::S.37	Lung-AdenoCA::S.38	Lung-AdenoCA::S.39	Lung-AdenoCA::S.40	Lung-AdenoCA::S.41	Lung-AdenoCA::S.42	Lung-AdenoCA::S.43	Lung-AdenoCA::S.44	Lung-AdenoCA::S.45	Lung-AdenoCA::S.46	Lung-AdenoCA::S.47	Lung-AdenoCA::S.48	Lung-AdenoCA::S.49	Lung-AdenoCA::S.50	Lung-AdenoCA::S.51	Lung-AdenoCA::S.52	Lung-AdenoCA::S.53	Lung-AdenoCA::S.54	Lung-AdenoCA::S.55	Lung-AdenoCA::S.56	Lung-AdenoCA::S.57	Lung-AdenoCA::S.58	Lung-AdenoCA::S.59	Lung-AdenoCA::S.60	Lung-AdenoCA::S.61	Lung-AdenoCA::S.62	Lung-AdenoCA::S.63	Lung-AdenoCA::S.64	Lung-AdenoCA::S.65	Lung-AdenoCA::S.66	Lung-AdenoCA::S.67	Lung-AdenoCA::S.68	Lung-AdenoCA::S.69	Lung-AdenoCA::S.70	Lung-AdenoCA::S.71	Lung-AdenoCA::S.72	Lung-AdenoCA::S.73	Lung-AdenoCA::S.74	Lung-AdenoCA::S.75	Lung-AdenoCA::S.76	Lung-AdenoCA::S.77	Lung-AdenoCA::S.78	Lung-AdenoCA::S.79	Lung-AdenoCA::S.80	Lung-AdenoCA::S.81	Lung-AdenoCA::S.82	Lung-AdenoCA::S.83	Lung-AdenoCA::S.84	Lung-AdenoCA::S.85	Lung-AdenoCA::S.86	Lung-AdenoCA::S.87	Lung-AdenoCA::S.88	Lung-AdenoCA::S.89	Lung-AdenoCA::S.90	Lung-AdenoCA::S.91	Lung-AdenoCA::S.92	Lung-AdenoCA::S.93	Lung-AdenoCA::S.94	Lung-AdenoCA::S.95	Lung-AdenoCA::S.96	Lung-AdenoCA::S.97	Lung-AdenoCA::S.98	Lung-AdenoCA::S.99	Lung-AdenoCA::S.100
2:Ins:R:4	0	0	0	0	2	1	0	3	0	0	0	0	3	0	0	0	0	1	1	0	0	1	2	4	0	0	1	0	0	1	1	2	1	2	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0
2:Ins:R:5	4	1	5	0	1	4	0	2	0	1	0	1	3	6	0	2	1	4	3	3	4	2	1	1	1	3	3	2	4	1	4	1	2	7	3	4	2	2	4	3	3	3	0	9	0	7	3	1	2	0	6	0	2	0	1	1	1	3	1	0	1	9	3	7	2	0	2	0	0	0	6	1	5	1	1	0	0	3	0	0	0	3	0	1	1	2	0	1	2	1	4	4	0	1	3	1	2	3	0	6
3:Ins:R:0	2	0	1	0	0	2	0	0	2	0	0	1	1	1	0	0	7	1	3	0	0	2	2	3	1	0	0	0	0	4	2	2	3	0	0	2	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	4	1	0	1	0	0	2	0	0	1	3	1	0	0	2	0	0	0	0	1	1	0	0	0	4	0	0	1	0	2	0	2	0	1	6	3	0	3	0	1	0	0	0	0	5	0	0	1
3:Ins:R:1	7	0	0	0	4	2	0	0	0	1	1	2	0	1	2	0	8	2	1	0	0	1	1	0	0	0	1	0	0	0	4	1	0	1	1	1	0	1	0	3	0	0	1	0	1	1	0	7	5	0	0	1	2	1	3	2	0	1	2	0	0	4	7	4	0	3	1	0	0	0	1	0	1	0	4	0	4	0	0	0	2	3	1	0	0	2	2	1	0	5	1	4	1	2	0	0	1	1	0	0
3:Ins:R:2	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	2	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0
3:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	1
4:Ins:R:0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	3	0	1	0	1	0	1	0	0	1	3	1	0	1	3	3	1	0	2	0	3	0	2	0	0	2	2	0	1	1	1	0	0	0	1	1	0	0	0
4:Ins:R:1	0	0	0	0	0	0	2	0	0	2	1	0	0	2	2	1	3	2	2	0	0	1	3	1	3	0	0	0	0	2	0	3	4	1	0	3	0	1	0	0	0	2	2	4	0	1	1	0	1	1	2	1	1	1	3	3	0	1	2	0	0	1	3	3	0	0	1	0	0	0	1	3	1	0	1	2	0	0	1	0	1	0	0	2	2	1	4	1	0	0	0	3	1	1	1	0	0	0	1	0
4:Ins:R:2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
4:Ins:R:3	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:5	1	0	0	0	1	0	0	3	1	1	0	1	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
5:Ins:R:0	1	0	1	0	0	1	1	0	0	1	2	1	0	3	1	0	11	2	0	0	2	3	2	0	0	0	0	0	0	0	3	0	1	0	0	6	1	1	2	1	0	3	2	0	0	5	0	1	5	4	2	0	23	3	0	1	0	2	0	1	0	0	6	4	0	0	1	1	0	0	1	0	0	0	5	3	0	1	0	0	2	0	1	3	0	4	2	4	1	4	1	2	0	0	0	8	2	0	1	0
5:Ins:R:1	0	2	3	0	0	6	0	2	1	1	0	1	3	5	1	0	9	5	2	1	1	3	6	1	3	2	4	0	0	0	4	1	2	0	0	2	1	2	3	0	1	4	0	1	0	6	6	1	3	1	0	1	16	1	3	1	0	2	1	0	0	2	3	8	0	0	3	1	1	0	4	2	0	0	2	3	4	0	0	0	1	4	4	2	3	3	2	4	2	3	1	3	1	1	1	1	2	4	0	3
5:Ins:R:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
5:Ins:R:5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	2	0	0	0	0	0	0	1
2:Del:M:1	1	0	23	0	9	20	6	30	2	2	14	6	7	29	1	1	37	7	2	4	1	9	22	14	20	5	10	0	0	19	16	12	5	8	12	24	17	19	1	6	10	6	12	3	3	3	46	12	40	9	17	8	14	20	2	3	0	6	12	3	2	23	28	50	0	17	6	2	2	3	8	3	7	4	6	34	11	1	3	3	6	8	8	12	4	6	30	17	15	49	6	20	18	8	9	2	8	4	7	29
3:Del:M:1	2	0	1	0	1	2	2	3	0	4	0	3	0	6	4	1	12	4	0	1	3	4	1	2	5	1	1	1	0	4	8	4	7	1	4	3	4	4	3	2	3	5	3	7	1	2	2	8	3	2	1	1	8	4	5	2	0	1	1	0	0	6	7	12	0	1	8	2	0	1	2	1	0	0	1	2	10	0	0	2	13	2	4	5	2	3	5	11	2	10	1	5	2	1	0	0	5	0	1	3
3:Del:M:2	1	1	2	0	0	9	2	1	0	2	1	1	1	0	2	0	4	3	2	1	0	3	2	1	21	0	3	2	0	1	1	3	1	1	2	8	2	4	0	4	2	1	2	0	2	9	1	4	6	1	6	1	9	2	0	7	0	1	3	0	0	3	4	3	0	2	4	0	0	0	3	1	5	0	3	1	1	4	2	0	2	2	4	1	1	0	9	2	1	6	0	7	2	1	3	0	1	1	4	1
4:Del:M:1	1	2	1	0	0	6	1	0	0	2	2	3	0	2	9	0	10	7	0	1	0	1	5	4	1	0	4	0	0	1	5	1	3	0	2	3	1	8	0	6	3	3	0	5	2	4	0	2	8	4	0	0	5	4	1	1	0	4	2	0	0	3	4	5	0	4	2	1	0	0	0	2	4	0	4	2	2	1	0	0	6	2	0	5	0	4	2	12	2	5	4	1	0	0	0	1	2	0	3	0
4:Del:M:2	0	0	0	0	4	3	0	0	0	0	1	1	0	2	3	0	10	2	0	1	0	2	2	7	1	0	1	0	0	2	7	3	1	2	0	4	1	2	1	2	3	0	1	0	0	23	1	0	2	2	0	0	18	1	0	2	0	1	1	2	0	5	9	1	0	2	0	1	0	0	1	0	0	0	3	2	2	1	0	6	3	8	0	5	0	2	4	5	0	7	1	0	3	1	1	1	2	0	2	1
4:Del:M:3	1	0	1	0	0	1	2	0	0	0	0	0	0	2	3	0	3	1	2	0	0	2	1	0	0	0	0	0	0	2	3	0	0	0	2	7	1	0	0	1	0	3	0	1	0	7	2	0	1	1	1	0	3	0	1	2	0	1	0	0	0	3	2	10	0	0	0	1	0	0	0	0	0	0	3	1	2	1	0	0	3	5	1	1	0	0	2	2	0	2	0	1	1	0	0	2	0	0	0	0
5:Del:M:1	1	19	5	0	2	59	11	8	0	11	4	0	3	4	58	19	11	9	26	10	55	2	6	10	22	19	46	0	5	5	26	20	3	10	28	41	5	33	3	67	16	49	1	3	1	106	1	3	7	1	5	8	95	2	10	8	26	3	14	0	0	7	8	25	0	8	16	0	0	0	12	12	3	0	49	28	19	22	26	2	3	11	10	17	10	3	10	27	2	3	4	15	2	1	17	59	46	4	2	35
5:Del:M:2	3	1	4	0	8	46	5	8	2	2	5	1	1	7	7	3	19	3	9	4	8	2	14	5	6	17	10	0	18	6	28	10	2	3	63	306	0	8	3	16	15	20	6	0	2	199	6	18	12	7	3	4	399	4	5	2	12	2	3	0	0	7	7	9	0	3	4	0	1	5	10	11	1	0	262	33	24	7	9	2	2	68	5	9	10	1	7	16	4	12	4	15	3	2	8	139	7	2	2	24
5:Del:M:3	1	2	2	0	4	8	5	5	2	1	2	4	4	6	3	0	17	4	5	4	7	2	4	1	5	2	7	2	14	4	6	4	1	4	57	62	0	8	0	12	2	11	3	2	2	66	4	2	10	6	2	7	142	6	1	1	4	0	9	0	0	1	8	12	0	11	9	0	0	0	2	2	0	0	170	30	6	4	9	1	3	67	4	4	4	2	4	6	1	12	2	3	0	1	6	118	8	2	2	5
5:Del:M:4	1	1	0	0	3	3	2	4	0	0	0	0	4	2	1	2	6	1	1	2	0	1	6	0	3	0	3	0	6	5	2	5	2	2	5	79	1	6	1	3	2	2	0	3	0	179	2	1	5	5	0	1	153	1	0	0	1	0	4	0	0	0	4	0	0	2	2	0	0	0	1	1	0	1	52	11	1	1	1	0	0	49	2	1	1	0	7	3	0	0	0	4	0	1	0	17	1	0	2	5
5:Del:M:5	1	2	1	0	1	1	0	1	0	1	1	1	1	1	2	0	2	1	1	0	0	1	1	1	1	1	0	0	6	0	2	1	1	4	5	22	2	5	1	1	0	0	2	2	0	62	3	3	1	1	0	1	90	0	1	0	1	4	0	0	0	1	1	4	1	0	0	0	0	0	0	0	1	0	63	11	2	0	1	0	0	60	1	2	0	0	0	0	0	2	0	4	0	1	3	45	2	0	0	0
