MutationType	Breast-AdenoCA::S.1	Breast-AdenoCA::S.2	Breast-AdenoCA::S.3	Breast-AdenoCA::S.4	Breast-AdenoCA::S.5	Breast-AdenoCA::S.6	Breast-AdenoCA::S.7	Breast-AdenoCA::S.8	Breast-AdenoCA::S.9	Breast-AdenoCA::S.10	Breast-AdenoCA::S.11	Breast-AdenoCA::S.12	Breast-AdenoCA::S.13	Breast-AdenoCA::S.14	Breast-AdenoCA::S.15	Breast-AdenoCA::S.16	Breast-AdenoCA::S.17	Breast-AdenoCA::S.18	Breast-AdenoCA::S.19	Breast-AdenoCA::S.20	Breast-AdenoCA::S.21	Breast-AdenoCA::S.22	Breast-AdenoCA::S.23	Breast-AdenoCA::S.24	Breast-AdenoCA::S.25	Breast-AdenoCA::S.26	Breast-AdenoCA::S.27	Breast-AdenoCA::S.28	Breast-AdenoCA::S.29	Breast-AdenoCA::S.30	Breast-AdenoCA::S.31	Breast-AdenoCA::S.32	Breast-AdenoCA::S.33	Breast-AdenoCA::S.34	Breast-AdenoCA::S.35	Breast-AdenoCA::S.36	Breast-AdenoCA::S.37	Breast-AdenoCA::S.38	Breast-AdenoCA::S.39	Breast-AdenoCA::S.40	Breast-AdenoCA::S.41	Breast-AdenoCA::S.42	Breast-AdenoCA::S.43	Breast-AdenoCA::S.44	Breast-AdenoCA::S.45	Breast-AdenoCA::S.46	Breast-AdenoCA::S.47	Breast-AdenoCA::S.48	Breast-AdenoCA::S.49	Breast-AdenoCA::S.50	Breast-AdenoCA::S.51	Breast-AdenoCA::S.52	Breast-AdenoCA::S.53	Breast-AdenoCA::S.54	Breast-AdenoCA::S.55	Breast-AdenoCA::S.56	Breast-AdenoCA::S.57	Breast-AdenoCA::S.58	Breast-AdenoCA::S.59	Breast-AdenoCA::S.60	Breast-AdenoCA::S.61	Breast-AdenoCA::S.62	Breast-AdenoCA::S.63	Breast-AdenoCA::S.64	Breast-AdenoCA::S.65	Breast-AdenoCA::S.66	Breast-AdenoCA::S.67	Breast-AdenoCA::S.68	Breast-AdenoCA::S.69	Breast-AdenoCA::S.70	Breast-AdenoCA::S.71	Breast-AdenoCA::S.72	Breast-AdenoCA::S.73	Breast-AdenoCA::S.74	Breast-AdenoCA::S.75	Breast-AdenoCA::S.76	Breast-AdenoCA::S.77	Breast-AdenoCA::S.78	Breast-AdenoCA::S.79	Breast-AdenoCA::S.80	Breast-AdenoCA::S.81	Breast-AdenoCA::S.82	Breast-AdenoCA::S.83	Breast-AdenoCA::S.84	Breast-AdenoCA::S.85	Breast-AdenoCA::S.86	Breast-AdenoCA::S.87	Breast-AdenoCA::S.88	Breast-AdenoCA::S.89	Breast-AdenoCA::S.90	Breast-AdenoCA::S.91	Breast-AdenoCA::S.92	Breast-AdenoCA::S.93	Breast-AdenoCA::S.94	Breast-AdenoCA::S.95	Breast-AdenoCA::S.96	Breast-AdenoCA::S.97	Breast-AdenoCA::S.98	Breast-AdenoCA::S.99	Breast-AdenoCA::S.100
TC>AT	3	0	3	0	8	7	0	6	1	3	4	7	2	4	1	1	0	1	0	1	6	9	1	2	11	8	1	1	1	8	3	1	0	0	10	7	4	0	0	0	0	3	8	4	0	0	0	0	3	2	0	4	4	2	2	0	0	8	2	1	3	3	3	7	2	5	0	2	11	1	2	2	3	11	4	1	1	5	2	5	3	1	0	2	1	5	2	1	1	4	10	6	18	6	0	2	7	1	12	1
TC>CA	0	0	1	6	1	3	1	11	9	1	8	2	2	7	4	5	4	1	0	1	2	0	1	7	2	16	0	4	0	2	1	2	2	3	6	4	12	0	0	3	0	14	1	2	3	0	6	6	2	3	1	2	3	3	11	4	2	3	8	8	7	0	7	3	1	2	0	6	5	4	4	8	1	1	9	6	15	3	10	4	0	4	18	8	1	4	2	2	9	1	4	1	3	8	2	13	5	0	1	3
TC>CG	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	3	0	0	0	1	0	2	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0
TC>CT	4	2	0	1	4	3	1	2	3	2	1	3	4	3	7	0	1	1	0	1	0	3	4	7	1	3	5	9	1	2	2	3	0	6	0	3	4	0	0	0	1	0	1	1	7	4	2	2	0	2	1	1	10	3	0	4	2	1	0	0	0	3	3	4	1	2	3	7	1	9	0	1	2	6	3	7	1	1	8	4	0	3	1	0	1	0	1	5	2	16	3	1	4	2	2	2	4	0	1	1
TC>GA	0	2	5	1	1	3	0	11	1	1	1	3	2	1	2	3	1	1	0	0	1	0	2	3	11	7	0	2	0	0	1	0	0	0	2	6	3	2	0	5	0	1	6	0	5	0	1	4	2	0	2	0	0	1	0	4	0	1	5	1	1	0	0	2	0	2	2	6	1	0	0	1	3	2	1	0	4	0	1	2	3	1	8	0	0	4	0	3	1	0	3	1	1	0	4	2	2	0	1	3
TC>GG	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0
TC>GT	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	1	2	0	0	1	0	0	0
TG>AA	1	1	2	0	5	2	4	1	1	8	3	0	1	3	1	0	0	0	3	1	0	3	0	1	4	2	2	8	3	0	3	0	3	1	1	2	0	1	4	2	0	1	0	0	0	3	0	3	4	2	0	4	1	2	2	4	0	2	5	1	3	0	1	1	1	1	2	1	2	1	2	1	3	1	1	3	2	0	1	1	2	3	1	0	1	0	1	1	1	1	2	5	0	5	0	0	0	0	4	3
TG>AC	1	0	0	0	2	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	3	0	0	2	1	0	0	1	0	1	0	0	0	0	4	1	1	0	1	0	0	0	0	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	2	0	3	0	0	2	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1
TG>AT	5	6	1	8	6	1	6	1	0	3	3	8	3	5	1	5	9	10	0	0	10	4	11	1	0	1	0	8	5	1	3	1	1	0	6	17	2	2	1	5	0	0	2	8	8	24	1	10	0	2	10	1	3	6	5	13	4	0	15	4	0	3	0	24	2	4	1	6	5	4	8	7	1	3	24	17	0	0	2	0	0	2	0	8	2	0	10	0	2	34	4	4	2	3	6	5	4	33	5	4
TG>CA	3	0	0	1	0	0	0	2	9	2	0	7	2	1	0	0	1	2	0	1	5	1	3	0	0	1	0	2	1	0	10	3	1	0	1	2	2	7	0	0	1	2	2	2	5	0	0	4	1	0	0	2	1	5	1	1	0	6	2	2	3	3	0	0	0	4	2	1	1	1	2	3	3	0	2	1	0	3	4	3	0	2	0	2	1	6	2	0	1	3	2	4	5	0	0	5	1	0	0	5
TG>CC	2	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	2	2	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	3	0	1	3	0	1	0	0	0	1	2	0	2	1	2	0	0	2	1	0	0	1	0	0	0	2	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	2	1	0	0	1	0	2	0	0	1
TG>CT	1	15	15	2	11	5	2	8	6	11	2	4	19	2	21	23	7	17	0	0	17	9	13	17	1	2	3	0	1	2	0	0	9	7	1	5	11	15	1	4	0	56	0	2	13	2	0	3	4	3	28	3	3	3	0	6	20	4	8	7	1	21	0	16	8	2	8	2	12	8	6	1	2	4	2	12	4	22	2	3	5	3	6	10	6	3	13	6	10	2	8	5	7	21	25	3	17	0	10	18
TG>GA	0	0	1	2	1	0	2	0	3	1	0	2	0	1	3	0	0	0	0	1	1	0	1	0	2	1	1	2	3	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	3	1	2	1	0	1	1	0	0	0	2	0	0	0	1	2	0	1	0	0	1	0	0	1	2	2	0	0	1	1	2	0	0	0	2	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	0	2
TG>GC	0	3	0	2	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TG>GT	0	2	0	1	0	0	0	0	1	0	1	1	2	1	1	3	0	1	5	0	1	4	1	4	1	0	0	0	2	0	3	1	0	1	0	0	3	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	2	0	0	20	1	0	1	0	1	0	1	0	1	0	0	0	1	0	2	0	0	1	2	2	0	1	3	0	0	3	0	3	1	1	4	2	2	1	2	1
TT>AA	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT>AC	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
TT>AG	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
TT>CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT>CC	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	3	0	3	0	0	0	0	1	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1
TT>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT>GA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT>GG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
