"Mutation type","Kidney-RCC::S.1","Kidney-RCC::S.2","Kidney-RCC::S.3","Kidney-RCC::S.4","Kidney-RCC::S.5","Kidney-RCC::S.6","Kidney-RCC::S.7","Kidney-RCC::S.8","Kidney-RCC::S.9","Kidney-RCC::S.10","Kidney-RCC::S.11","Kidney-RCC::S.12","Kidney-RCC::S.13","Kidney-RCC::S.14","Kidney-RCC::S.15","Kidney-RCC::S.16","Kidney-RCC::S.17","Kidney-RCC::S.18","Kidney-RCC::S.19","Kidney-RCC::S.20","Kidney-RCC::S.21","Kidney-RCC::S.22","Kidney-RCC::S.23","Kidney-RCC::S.24","Kidney-RCC::S.25","Kidney-RCC::S.26","Kidney-RCC::S.27","Kidney-RCC::S.28","Kidney-RCC::S.29","Kidney-RCC::S.30","Kidney-RCC::S.31","Kidney-RCC::S.32","Kidney-RCC::S.33","Kidney-RCC::S.34","Kidney-RCC::S.35","Kidney-RCC::S.36","Kidney-RCC::S.37","Kidney-RCC::S.38","Kidney-RCC::S.39","Kidney-RCC::S.40","Kidney-RCC::S.41","Kidney-RCC::S.42","Kidney-RCC::S.43","Kidney-RCC::S.44","Kidney-RCC::S.45","Kidney-RCC::S.46","Kidney-RCC::S.47","Kidney-RCC::S.48","Kidney-RCC::S.49","Kidney-RCC::S.50","Kidney-RCC::S.51","Kidney-RCC::S.52","Kidney-RCC::S.53","Kidney-RCC::S.54","Kidney-RCC::S.55","Kidney-RCC::S.56","Kidney-RCC::S.57","Kidney-RCC::S.58","Kidney-RCC::S.59","Kidney-RCC::S.60","Kidney-RCC::S.61","Kidney-RCC::S.62","Kidney-RCC::S.63","Kidney-RCC::S.64","Kidney-RCC::S.65","Kidney-RCC::S.66","Kidney-RCC::S.67","Kidney-RCC::S.68","Kidney-RCC::S.69","Kidney-RCC::S.70","Kidney-RCC::S.71","Kidney-RCC::S.72","Kidney-RCC::S.73","Kidney-RCC::S.74","Kidney-RCC::S.75","Kidney-RCC::S.76","Kidney-RCC::S.77","Kidney-RCC::S.78","Kidney-RCC::S.79","Kidney-RCC::S.80","Kidney-RCC::S.81","Kidney-RCC::S.82","Kidney-RCC::S.83","Kidney-RCC::S.84","Kidney-RCC::S.85","Kidney-RCC::S.86","Kidney-RCC::S.87","Kidney-RCC::S.88","Kidney-RCC::S.89","Kidney-RCC::S.90","Kidney-RCC::S.91","Kidney-RCC::S.92","Kidney-RCC::S.93","Kidney-RCC::S.94","Kidney-RCC::S.95","Kidney-RCC::S.96","Kidney-RCC::S.97","Kidney-RCC::S.98","Kidney-RCC::S.99"
"INS_repeats_3_0",2,2,1,1,3,2,2,8,1,1,0,0,1,0,1,3,0,1,6,3,2,8,5,2,1,4,2,4,1,6,1,0,3,1,8,1,0,1,0,0,0,2,1,1,2,3,2,3,1,2,1,3,1,2,0,3,1,3,3,0,2,1,2,1,2,0,5,4,3,0,1,3,1,1,4,0,1,0,2,1,1,6,2,2,0,1,1,2,2,1,1,2,2,0,2,3,1,1,3
"INS_repeats_3_1",0,0,5,1,2,1,6,2,1,0,1,5,3,3,3,13,3,2,4,3,4,10,7,2,2,12,1,3,1,6,5,1,3,1,5,1,6,2,5,1,1,2,2,3,3,4,3,3,4,0,6,4,2,1,7,9,0,1,0,0,1,3,6,2,0,1,6,0,1,0,1,3,5,1,3,4,4,1,6,3,0,5,2,0,6,8,9,4,2,1,8,3,1,5,1,3,2,0,7
"INS_repeats_3_2",2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,2,3,0,0,0,1,1,0,5,0,1,1,0,2,0,3,2,0,0,1,1,0,0,1,3,2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,2,1,0,0,1,1,1,1,1,2,0,1,1,0,1,2,2,0
"INS_repeats_3_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INS_repeats_3_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"INS_repeats_3_5+",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"INS_repeats_4_0",0,2,3,2,0,1,6,4,4,1,0,1,2,0,3,2,2,0,2,7,3,2,0,6,1,4,1,0,1,2,1,1,2,2,0,2,2,0,0,4,0,0,3,1,2,4,0,0,1,0,2,0,1,0,2,1,0,2,0,1,0,0,0,2,0,1,6,2,1,0,0,2,1,1,0,2,2,1,0,0,2,5,0,1,0,3,0,6,0,1,1,0,0,2,0,1,2,1,1
"INS_repeats_4_1",0,2,1,0,1,1,6,3,1,3,0,3,2,0,3,2,1,3,4,2,0,5,2,4,2,0,2,1,4,2,1,0,3,0,3,6,3,2,0,1,3,0,3,3,9,1,1,5,0,0,2,3,1,3,4,1,0,2,1,2,0,0,6,4,0,0,1,0,6,1,1,1,3,5,0,1,3,1,3,6,1,4,3,0,1,1,4,0,2,2,2,1,1,2,1,3,2,2,1
"INS_repeats_4_2",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"INS_repeats_4_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INS_repeats_4_4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"INS_repeats_4_5+",0,0,2,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,0,4,1,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0,1,0
"INS_repeats_5+_0",0,1,2,1,0,1,4,6,4,1,2,6,1,5,4,4,1,4,5,3,1,3,2,4,1,7,0,1,2,16,0,0,3,3,2,1,4,0,0,2,1,4,5,11,5,4,6,2,1,1,7,2,6,2,0,10,3,4,0,1,0,3,3,3,4,1,1,3,3,2,0,1,0,5,1,1,3,0,5,2,1,1,0,0,0,2,8,3,1,1,0,1,3,0,1,1,2,1,1
"INS_repeats_5+_1",1,5,2,4,4,1,6,8,2,9,8,2,4,0,2,1,6,6,7,14,4,4,5,2,6,6,3,6,6,5,2,3,2,7,2,1,5,0,6,8,2,3,4,7,10,3,5,2,2,5,4,8,3,4,0,4,1,1,6,0,1,2,2,9,2,2,3,5,0,0,6,0,5,7,2,3,8,4,6,10,3,2,1,2,9,6,5,5,0,2,9,2,9,2,7,3,6,5,0
"INS_repeats_5+_2",0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"INS_repeats_5+_3",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"INS_repeats_5+_4",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"INS_repeats_5+_5+",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1
"DEL_MH_2_1",13,22,9,10,9,24,29,21,11,16,4,5,23,5,5,42,9,17,27,36,40,9,27,11,14,41,12,9,5,23,4,6,10,9,19,10,16,16,5,16,20,7,23,30,28,22,15,7,8,14,15,14,20,10,12,25,2,34,5,6,15,27,16,23,14,16,60,20,4,6,9,15,13,8,8,24,13,10,13,8,22,28,4,2,13,28,20,22,17,6,16,13,17,14,14,12,42,16,14
"DEL_MH_3_1",2,14,3,6,2,8,9,25,8,6,5,6,5,1,7,20,2,9,18,7,3,12,9,5,9,18,5,18,9,17,4,7,12,7,12,24,19,7,4,7,12,8,3,9,13,4,13,4,3,1,6,5,7,9,10,6,5,6,3,8,9,6,8,8,10,6,7,14,7,9,9,0,21,16,10,7,10,5,7,6,7,9,6,4,7,13,8,2,3,2,5,5,3,6,4,7,10,8,1
"DEL_MH_3_2",4,4,6,6,4,8,5,5,2,6,2,4,4,4,2,5,2,6,10,5,9,9,11,11,4,7,1,7,9,8,4,2,3,0,5,6,10,1,4,4,5,1,9,9,11,4,2,0,1,4,8,2,11,15,11,10,0,7,1,3,2,9,1,5,7,1,12,11,17,9,3,5,7,10,4,10,2,3,11,4,5,4,5,3,8,0,7,3,7,5,7,2,6,5,9,1,8,1,6
"DEL_MH_4_1",8,2,3,1,7,1,2,1,1,4,4,3,3,3,3,6,1,4,13,9,12,1,3,9,3,15,4,4,1,5,1,4,5,8,1,10,8,0,2,4,1,1,4,7,13,2,9,4,1,1,11,4,0,2,3,13,3,9,4,5,4,8,3,5,5,0,6,5,16,7,0,2,3,6,3,4,1,3,9,6,2,7,1,3,1,9,4,1,4,3,0,5,4,4,1,3,4,3,4
"DEL_MH_4_2",2,1,3,8,7,6,1,2,3,5,2,1,20,3,4,8,2,1,4,6,3,4,1,2,1,3,1,8,1,3,1,0,6,3,9,2,9,2,2,1,3,0,1,6,1,3,3,2,3,2,3,7,3,8,6,10,2,4,8,1,4,6,4,1,2,1,3,1,6,1,2,2,1,3,1,3,2,2,15,2,7,3,3,1,3,2,1,9,6,3,3,0,3,1,6,0,1,7,2
"DEL_MH_4_3",1,1,3,6,2,3,6,7,0,2,1,4,5,0,0,4,3,2,5,0,5,5,9,2,2,6,0,0,3,2,0,2,1,1,2,3,1,1,5,3,2,1,9,3,5,1,1,1,0,1,0,1,2,1,12,0,1,3,3,4,3,5,8,2,2,1,7,2,3,0,1,0,3,1,3,7,0,1,2,1,1,0,0,0,7,1,5,3,0,1,4,1,0,0,0,0,4,0,2
"DEL_MH_5+_1",29,17,25,23,99,13,23,76,24,18,60,49,17,43,14,59,56,51,87,22,59,18,60,45,42,47,42,57,22,16,41,38,35,38,18,60,83,21,19,41,25,34,28,128,66,24,36,84,30,20,112,34,30,11,13,41,7,17,81,56,113,16,25,73,21,22,35,57,18,27,12,12,68,15,145,21,30,30,67,52,106,51,16,20,40,47,81,124,16,17,33,11,37,81,29,22,69,19,63
"DEL_MH_5+_2",12,19,15,11,85,9,23,39,15,27,22,17,16,17,18,25,20,93,19,12,14,20,27,18,5,31,23,12,24,16,21,22,11,14,36,33,40,5,21,11,21,11,57,22,9,23,15,23,4,25,41,9,16,5,18,13,3,4,15,27,21,14,12,11,8,17,8,9,22,16,13,5,69,12,9,26,6,17,14,7,45,17,23,9,33,10,32,6,5,12,22,11,29,21,14,12,35,24,19
"DEL_MH_5+_3",4,5,8,1,17,9,17,24,16,4,7,4,7,4,7,24,15,46,23,8,13,16,6,10,7,7,13,8,12,12,9,9,3,13,5,11,19,6,8,8,21,15,6,30,13,10,12,13,7,5,10,8,4,3,9,7,3,10,19,22,10,9,6,21,10,11,4,20,10,10,8,18,21,4,10,10,13,6,8,11,8,15,8,5,9,13,15,12,9,5,5,5,18,10,15,10,14,7,8
"DEL_MH_5+_4",1,3,6,1,3,3,5,0,3,1,9,4,5,3,3,12,1,79,2,3,4,1,4,0,1,6,7,3,2,5,4,5,3,4,2,4,4,1,2,1,10,7,4,4,4,3,4,6,2,0,7,2,0,4,3,1,3,3,0,2,4,5,1,5,0,2,6,3,1,2,3,2,13,4,10,1,1,1,3,5,7,8,3,4,7,1,4,5,0,1,4,0,1,2,1,7,9,1,9
"DEL_MH_5+_5+",1,5,1,0,1,3,3,1,5,1,4,1,2,2,2,3,2,42,2,3,2,0,4,0,3,8,3,2,1,4,3,0,2,2,0,5,1,2,0,1,10,3,3,3,1,1,1,2,2,1,4,1,3,4,1,0,1,1,3,3,2,1,3,1,0,0,2,1,3,4,3,4,5,0,6,2,1,0,1,2,3,1,0,2,2,1,4,4,1,1,0,0,1,11,2,3,5,4,5
