MutationType	Stomach-AdenoCA::S.1	Stomach-AdenoCA::S.2	Stomach-AdenoCA::S.3	Stomach-AdenoCA::S.4	Stomach-AdenoCA::S.5	Stomach-AdenoCA::S.6	Stomach-AdenoCA::S.7	Stomach-AdenoCA::S.8	Stomach-AdenoCA::S.9	Stomach-AdenoCA::S.10	Stomach-AdenoCA::S.11	Stomach-AdenoCA::S.12	Stomach-AdenoCA::S.13	Stomach-AdenoCA::S.14	Stomach-AdenoCA::S.15	Stomach-AdenoCA::S.16	Stomach-AdenoCA::S.17	Stomach-AdenoCA::S.18	Stomach-AdenoCA::S.19	Stomach-AdenoCA::S.20	Stomach-AdenoCA::S.21	Stomach-AdenoCA::S.22	Stomach-AdenoCA::S.23	Stomach-AdenoCA::S.24	Stomach-AdenoCA::S.25	Stomach-AdenoCA::S.26	Stomach-AdenoCA::S.27	Stomach-AdenoCA::S.28	Stomach-AdenoCA::S.29	Stomach-AdenoCA::S.30	Stomach-AdenoCA::S.31	Stomach-AdenoCA::S.32	Stomach-AdenoCA::S.33	Stomach-AdenoCA::S.34	Stomach-AdenoCA::S.35	Stomach-AdenoCA::S.36	Stomach-AdenoCA::S.37	Stomach-AdenoCA::S.38	Stomach-AdenoCA::S.39	Stomach-AdenoCA::S.40	Stomach-AdenoCA::S.41	Stomach-AdenoCA::S.42	Stomach-AdenoCA::S.43	Stomach-AdenoCA::S.44	Stomach-AdenoCA::S.45	Stomach-AdenoCA::S.46	Stomach-AdenoCA::S.47	Stomach-AdenoCA::S.48	Stomach-AdenoCA::S.49	Stomach-AdenoCA::S.50	Stomach-AdenoCA::S.51	Stomach-AdenoCA::S.52	Stomach-AdenoCA::S.53	Stomach-AdenoCA::S.54	Stomach-AdenoCA::S.55	Stomach-AdenoCA::S.56	Stomach-AdenoCA::S.57	Stomach-AdenoCA::S.58	Stomach-AdenoCA::S.59	Stomach-AdenoCA::S.60	Stomach-AdenoCA::S.61	Stomach-AdenoCA::S.62	Stomach-AdenoCA::S.63	Stomach-AdenoCA::S.64	Stomach-AdenoCA::S.65	Stomach-AdenoCA::S.66	Stomach-AdenoCA::S.67	Stomach-AdenoCA::S.68	Stomach-AdenoCA::S.69	Stomach-AdenoCA::S.70	Stomach-AdenoCA::S.71	Stomach-AdenoCA::S.72	Stomach-AdenoCA::S.73	Stomach-AdenoCA::S.74	Stomach-AdenoCA::S.75	Stomach-AdenoCA::S.76	Stomach-AdenoCA::S.77	Stomach-AdenoCA::S.78	Stomach-AdenoCA::S.79	Stomach-AdenoCA::S.80	Stomach-AdenoCA::S.81	Stomach-AdenoCA::S.82	Stomach-AdenoCA::S.83	Stomach-AdenoCA::S.84	Stomach-AdenoCA::S.85	Stomach-AdenoCA::S.86	Stomach-AdenoCA::S.87	Stomach-AdenoCA::S.88	Stomach-AdenoCA::S.89	Stomach-AdenoCA::S.90
3:Ins:R:4	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2
3:Ins:R:5	2	2	5	0	6	1	0	1	1	2	1	4	1	3	1	0	0	0	1	0	1	2	0	4	0	0	1	2	5	2	0	1	2	1	3	1	2	1	1	0	3	0	1	3	4	2	1	6	0	0	0	4	1	2	0	0	1	1	2	5	0	18	0	1	0	2	3	2	1	3	0	1	2	0	0	2	1	1	0	1	2	0	0	1	1	2	0	4	3	2
4:Ins:R:0	1	1	7	0	0	11	1	0	0	3	0	0	1	0	0	1	1	1	0	0	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	6	0	0	1	7	2	0	1	0	0	2	2	0	2	16	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	1	1	0	3	0	11	1	3
4:Ins:R:1	1	5	1	3	1	5	1	0	3	2	0	0	5	0	3	0	1	0	2	2	0	5	0	1	4	0	1	4	6	1	0	0	0	1	1	1	0	1	0	2	4	2	2	5	0	0	0	4	0	0	0	6	2	1	4	0	0	0	1	1	4	1	0	0	3	3	2	0	1	4	1	0	3	2	4	1	0	2	1	4	0	2	4	4	2	1	2	5	2	3
4:Ins:R:2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
4:Ins:R:3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	2	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
4:Ins:R:4	1	5	0	1	0	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1	0	2	0	0	0	4	1	0	1	0	0	1	0	1	0	3	0	1	0	0	0	0	0	2	0	0	1	0	6	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1
4:Ins:R:5	1	1	2	1	7	1	2	2	1	2	1	0	1	2	2	0	3	0	2	0	2	0	1	1	0	1	3	1	5	1	0	1	1	0	2	0	0	0	1	1	1	2	0	0	3	0	1	2	0	1	0	3	2	1	3	1	0	2	0	3	0	3	1	3	2	5	2	5	0	2	1	1	3	0	1	2	0	0	0	1	0	0	2	1	3	1	1	0	4	0
5:Ins:R:0	0	3	4	0	0	4	0	0	1	7	0	0	4	0	0	2	1	0	1	3	0	2	0	0	0	0	4	5	2	0	0	0	0	2	0	1	0	4	1	1	0	3	0	2	0	1	0	6	0	1	8	3	4	0	3	0	0	2	2	0	5	7	0	1	3	2	3	2	0	5	1	0	1	0	6	2	0	0	3	7	1	2	2	2	1	4	1	41	1	1
5:Ins:R:1	1	55	24	1	1	14	2	1	2	4	0	1	4	0	1	0	3	0	6	1	1	2	10	5	2	1	2	2	0	3	0	2	0	5	3	2	1	2	1	5	0	4	2	0	0	9	0	19	1	0	4	55	5	1	11	0	2	2	0	2	13	66	1	3	2	0	4	6	0	1	1	1	0	1	37	1	0	5	0	13	1	7	2	4	19	1	2	50	5	7
5:Ins:R:2	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	4	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	4	1	0
5:Ins:R:3	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0
5:Ins:R:4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
5:Ins:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	3	0	1	1	0	0
2:Del:M:1	16	10	16	13	4	5	1	1	3	8	0	0	6	0	3	3	2	5	1	1	0	11	0	0	8	0	18	11	3	4	2	12	1	5	1	9	0	9	10	5	13	14	2	5	0	1	0	21	1	2	14	3	13	1	4	2	0	7	5	6	8	3	1	3	7	4	4	8	1	10	11	1	7	17	7	0	0	5	0	9	3	14	12	6	13	5	13	20	6	13
3:Del:M:1	1	14	7	5	0	12	2	0	5	6	0	0	6	0	2	3	5	2	0	0	0	6	1	10	8	1	7	3	6	2	0	2	0	11	0	2	2	8	4	8	3	6	0	4	0	6	0	8	0	0	5	2	8	0	26	0	0	15	4	2	5	4	9	6	0	9	2	7	0	4	10	0	2	4	8	0	0	5	1	2	1	9	2	12	3	1	6	12	1	7
3:Del:M:2	2	3	5	4	5	17	6	2	2	12	3	5	4	0	3	4	1	7	5	1	0	5	0	1	1	1	3	15	5	11	2	6	0	3	3	6	0	5	5	9	10	6	2	5	5	1	2	9	1	1	1	9	11	1	7	2	1	10	5	8	12	14	1	4	2	7	4	17	1	4	4	3	1	5	6	9	2	3	1	10	1	13	8	4	13	9	4	28	8	7
4:Del:M:1	1	4	5	5	1	7	1	0	1	7	0	0	3	0	1	5	3	1	3	0	0	2	4	3	7	0	0	0	5	1	0	1	0	1	0	5	0	1	5	4	0	1	0	0	0	1	0	7	0	1	0	0	9	0	9	0	0	1	6	0	5	4	2	1	1	1	0	4	0	0	6	0	0	5	0	0	0	1	1	2	2	1	7	9	10	5	7	10	0	5
4:Del:M:2	1	3	5	6	1	2	5	0	0	7	0	0	4	0	0	0	2	0	2	1	0	4	0	1	5	0	4	3	6	5	0	3	0	1	0	3	0	1	1	3	3	3	0	3	1	2	0	13	0	0	5	3	0	0	10	0	0	4	3	0	2	2	2	2	2	3	0	9	0	3	4	0	0	0	0	3	0	0	0	16	1	1	1	4	5	0	4	34	7	2
4:Del:M:3	1	4	7	3	0	4	2	0	0	4	0	0	2	0	0	0	1	0	0	0	0	6	1	0	1	1	4	1	3	1	0	1	1	0	0	2	0	1	0	2	0	3	1	2	0	3	0	2	1	0	2	7	1	0	4	0	0	0	2	2	5	10	0	2	1	1	7	0	0	1	0	0	1	4	1	1	0	2	0	1	0	4	1	1	5	0	3	28	2	1
5:Del:M:1	29	13	13	1	6	9	12	0	48	43	0	0	16	0	0	1	2	113	43	17	0	21	116	99	48	0	9	4	8	3	0	1	1	54	0	0	0	18	3	75	1	2	15	3	1	5	0	94	0	0	27	27	0	0	147	0	0	1	3	2	50	22	2	10	8	9	20	27	0	3	68	0	23	0	8	21	1	1	3	23	0	96	6	5	197	4	6	266	1	11
5:Del:M:2	5	1	10	1	3	11	5	0	16	49	0	0	1	1	1	3	3	19	34	30	0	5	30	16	18	0	15	5	1	0	2	1	0	27	1	1	0	10	4	17	2	2	4	3	1	1	0	238	0	0	28	10	5	0	208	0	0	2	0	1	112	40	0	41	17	0	80	12	0	1	36	0	1	2	3	40	0	3	0	137	0	34	1	0	29	1	0	203	3	9
5:Del:M:3	9	7	5	1	2	9	2	0	8	172	0	0	10	0	0	0	4	18	24	18	0	5	2	13	10	0	3	3	0	1	1	0	0	4	0	2	1	5	1	8	2	4	3	1	0	4	0	139	0	0	32	3	5	0	162	0	0	2	5	1	123	14	3	9	29	1	65	12	0	0	12	0	4	3	1	50	0	0	1	121	2	35	0	4	25	2	6	390	2	2
5:Del:M:4	3	0	6	0	3	1	0	0	0	56	0	0	2	1	0	0	1	2	17	23	0	1	4	8	8	0	2	0	3	0	0	2	0	2	0	1	1	0	1	5	3	1	1	0	1	1	0	150	0	0	24	0	4	0	40	0	0	0	1	1	62	14	0	6	6	1	24	1	0	0	4	0	4	0	1	12	0	1	0	226	0	7	2	2	10	1	5	544	2	1
5:Del:M:5	1	3	2	2	1	5	3	0	3	65	0	0	1	7	1	0	2	0	12	19	0	1	4	2	1	2	4	2	2	7	0	2	2	4	2	0	0	1	0	5	0	3	0	1	4	0	0	88	1	0	14	1	4	0	34	0	1	2	1	4	31	8	1	3	9	1	46	2	0	2	1	0	5	1	1	41	1	2	1	23	1	4	1	0	8	4	3	375	6	2
