"Mutation type","Skin-Melanoma::S.1","Skin-Melanoma::S.2","Skin-Melanoma::S.3","Skin-Melanoma::S.4","Skin-Melanoma::S.5","Skin-Melanoma::S.6","Skin-Melanoma::S.7","Skin-Melanoma::S.8","Skin-Melanoma::S.9","Skin-Melanoma::S.10","Skin-Melanoma::S.11","Skin-Melanoma::S.12","Skin-Melanoma::S.13","Skin-Melanoma::S.14","Skin-Melanoma::S.15","Skin-Melanoma::S.16","Skin-Melanoma::S.17","Skin-Melanoma::S.18","Skin-Melanoma::S.19","Skin-Melanoma::S.20","Skin-Melanoma::S.21","Skin-Melanoma::S.22","Skin-Melanoma::S.23","Skin-Melanoma::S.24","Skin-Melanoma::S.25","Skin-Melanoma::S.26","Skin-Melanoma::S.27","Skin-Melanoma::S.28","Skin-Melanoma::S.29","Skin-Melanoma::S.30","Skin-Melanoma::S.31","Skin-Melanoma::S.32","Skin-Melanoma::S.33","Skin-Melanoma::S.34","Skin-Melanoma::S.35","Skin-Melanoma::S.36","Skin-Melanoma::S.37","Skin-Melanoma::S.38","Skin-Melanoma::S.39","Skin-Melanoma::S.40","Skin-Melanoma::S.41","Skin-Melanoma::S.42","Skin-Melanoma::S.43","Skin-Melanoma::S.44","Skin-Melanoma::S.45","Skin-Melanoma::S.46","Skin-Melanoma::S.47","Skin-Melanoma::S.48","Skin-Melanoma::S.49","Skin-Melanoma::S.50","Skin-Melanoma::S.51","Skin-Melanoma::S.52","Skin-Melanoma::S.53","Skin-Melanoma::S.54","Skin-Melanoma::S.55","Skin-Melanoma::S.56","Skin-Melanoma::S.57","Skin-Melanoma::S.58","Skin-Melanoma::S.59","Skin-Melanoma::S.60","Skin-Melanoma::S.61","Skin-Melanoma::S.62","Skin-Melanoma::S.63","Skin-Melanoma::S.64","Skin-Melanoma::S.65","Skin-Melanoma::S.66","Skin-Melanoma::S.67","Skin-Melanoma::S.68","Skin-Melanoma::S.69","Skin-Melanoma::S.70","Skin-Melanoma::S.71","Skin-Melanoma::S.72","Skin-Melanoma::S.73","Skin-Melanoma::S.74","Skin-Melanoma::S.75","Skin-Melanoma::S.76","Skin-Melanoma::S.77","Skin-Melanoma::S.78","Skin-Melanoma::S.79","Skin-Melanoma::S.80","Skin-Melanoma::S.81","Skin-Melanoma::S.82","Skin-Melanoma::S.83","Skin-Melanoma::S.84","Skin-Melanoma::S.85","Skin-Melanoma::S.86","Skin-Melanoma::S.87","Skin-Melanoma::S.88","Skin-Melanoma::S.89","Skin-Melanoma::S.90","Skin-Melanoma::S.91","Skin-Melanoma::S.92","Skin-Melanoma::S.93","Skin-Melanoma::S.94","Skin-Melanoma::S.95","Skin-Melanoma::S.96","Skin-Melanoma::S.97","Skin-Melanoma::S.98"
"TC>CG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC>CT",0,0,21,1,27,0,5,4,2,0,0,1,0,10,4,2,34,10,1,2,0,5,6,3,2,12,4,0,2,16,0,5,0,6,4,1,0,5,2,5,3,0,4,39,6,16,2,12,11,19,0,9,0,8,12,10,0,1,6,18,0,4,3,32,0,10,1,0,6,7,0,0,0,1,0,0,2,0,0,0,0,9,21,19,5,8,8,0,0,1,1,1,1,0,2,3,0,0
"TC>GA",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"TC>GG",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,1,3,1,0,0,2,1,4,1,0,3,1,0,0,0,1,0,2,1,0,6,3,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,3,0,2,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,2,0,7,0,4,0,4,0,0,0,1,0,0
"TC>GT",4,8,38,0,59,2,51,25,0,0,0,9,13,6,24,81,6,32,1,1,0,4,19,52,0,19,12,21,22,5,1,1,35,2,34,2,0,0,0,0,6,31,0,22,3,6,6,5,108,10,3,55,1,1,30,15,3,1,1,20,14,30,3,13,8,2,0,0,13,7,31,1,5,0,2,0,3,0,12,3,1,6,42,26,0,16,32,26,4,3,0,23,0,5,0,6,1,2
"TG>AA",4,1,8,0,0,0,5,0,0,5,0,1,0,1,0,1,0,5,0,6,0,0,4,4,1,13,0,0,5,4,1,1,0,2,1,0,0,0,2,3,0,1,7,30,3,3,1,1,0,0,0,3,0,3,0,26,1,0,5,5,0,10,1,2,0,3,2,0,1,7,2,0,3,0,5,0,1,0,3,0,2,0,30,11,2,1,2,6,2,3,0,6,1,0,1,3,3,3
"TG>AC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,2,0,1,0,0,1,0,1,0,3,1,0,1,8,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"TG>AT",4,1,7,0,88,1,3,1,1,14,0,0,12,11,12,11,6,10,1,0,1,0,0,4,0,11,0,6,7,7,1,0,0,7,79,0,0,2,1,4,4,24,12,18,3,3,7,5,10,6,0,0,0,2,5,13,0,0,15,12,5,16,1,13,1,11,3,0,2,0,6,0,5,1,4,1,3,0,4,7,2,6,45,36,2,2,0,3,4,2,6,2,0,0,6,1,2,24
"TG>CA",0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,2,1,0,2,0,1,0,1,0,1,0,0,0,3,0,0,1,0,0,1,0,0,4,0,0,1,1,1,0,0,0,1,3,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,5,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"TG>CC",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"TG>CT",0,5,6,0,40,0,0,0,0,0,1,7,3,2,3,8,2,18,0,0,0,4,7,13,0,2,7,1,2,3,6,3,3,8,5,1,1,0,3,5,19,9,28,1,0,15,13,1,7,5,3,1,7,1,1,1,0,0,0,7,1,0,0,0,3,5,0,1,2,9,0,0,0,1,1,1,1,0,1,0,1,0,4,7,0,8,8,36,0,7,0,4,3,1,0,6,2,2
"TG>GA",1,1,14,0,7,0,0,0,1,1,0,1,2,1,1,0,0,4,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,2,2,8,4,0,0,0,0,9,0,0,2,0,4,0,0,0,0,3,9,0,2,0,0,0,0,0,0,2,1,5,0,1,0,0,0,1,0,0,3,1,0,0,3,0,1,0,1,0,1,0,0,0,2,0,1,0,2
"TG>GC",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0
"TG>GT",0,0,5,0,13,0,5,7,0,2,0,4,0,5,13,0,6,3,1,7,0,1,4,13,0,4,8,2,3,1,0,1,1,0,4,3,0,1,0,1,1,1,9,22,9,5,3,16,27,1,0,9,4,5,4,36,3,0,1,35,3,6,1,25,1,11,0,0,12,19,6,0,0,0,4,0,0,0,0,5,6,1,16,4,0,3,4,20,7,6,0,10,0,1,3,0,1,4
"TT>AA",0,0,12,3,33,1,13,2,7,14,0,20,1,7,2,4,24,1,1,4,0,8,13,8,3,9,38,12,8,2,3,20,26,16,6,1,0,2,4,50,36,10,23,80,29,13,12,19,11,2,0,4,5,11,1,4,9,0,21,19,0,75,4,14,11,75,4,1,53,4,12,2,1,1,0,0,18,0,3,2,5,6,6,33,0,0,35,6,1,8,7,7,3,7,16,8,6,22
"TT>AC",2,0,5,0,6,0,2,2,0,0,0,0,1,6,1,1,2,10,2,2,0,1,1,1,0,2,0,2,5,3,6,2,3,0,0,0,0,1,5,0,4,0,9,5,2,1,1,3,24,2,2,4,0,0,5,11,3,0,0,8,2,3,0,3,0,9,0,0,2,0,1,0,1,0,0,0,2,0,6,2,1,1,9,3,0,1,1,7,3,0,3,5,1,0,2,1,0,1
"TT>AG",0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,1,0,1,0,0,0,3,2,1,1,0,0,0,0,1,0,0,0,0,1,3,2,11,7,0,2,0,1,3,0,1,1,1,2,2,4,0,0,0,0,2,1,0,0,4,0,1,3,0,2,0,0,0,0,0,5,0,0,0,1,1,2,6,0,0,0,0,1,0,1,0,0,2,0,0,0,1
"TT>CA",0,6,1,1,4,0,0,3,2,2,0,1,9,6,1,1,1,1,0,0,0,0,0,7,0,5,1,2,1,0,0,1,5,0,1,0,0,0,2,1,1,0,10,4,1,0,4,5,0,4,0,12,0,1,0,3,3,0,0,7,1,0,0,5,0,1,0,0,0,1,13,0,0,0,2,0,1,1,1,1,1,2,4,4,0,0,1,1,1,3,3,1,0,1,2,2,0,2
"TT>CC",0,7,1,0,30,0,1,0,1,4,0,11,0,7,19,15,14,39,11,6,0,8,32,12,0,0,9,7,13,37,17,3,6,14,101,8,0,1,1,6,38,13,2,55,6,27,9,0,53,10,19,79,9,15,15,66,29,0,11,145,5,48,1,9,5,29,5,0,8,17,1,0,1,0,1,4,21,5,4,4,0,2,4,55,6,26,10,6,1,10,3,36,8,1,44,6,1,6
"TT>CG",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"TT>GA",0,1,5,0,11,0,0,4,0,5,0,11,6,0,1,0,1,4,3,1,0,10,9,1,0,17,14,5,3,9,9,0,0,1,4,0,0,1,7,11,10,2,1,9,3,11,1,6,2,4,0,2,0,2,0,11,2,0,0,30,2,18,0,14,1,3,2,1,4,0,0,1,2,2,3,3,6,0,0,4,6,5,11,3,2,9,0,9,4,3,1,13,0,2,3,0,3,5
"TT>GC",0,1,18,0,7,0,1,1,1,7,0,0,1,4,3,0,14,8,0,2,0,0,0,1,0,0,1,1,1,2,7,0,3,4,11,2,0,0,0,0,3,2,11,7,5,0,4,1,21,3,0,0,0,0,13,3,1,2,6,7,0,1,0,4,0,5,0,0,7,5,0,0,0,0,3,0,0,1,3,0,2,3,3,5,2,2,1,2,1,1,0,2,0,1,10,1,2,3
"TT>GG",1,0,4,0,2,0,8,5,2,11,0,0,5,7,3,4,14,1,0,1,0,1,3,8,2,0,0,1,4,1,6,3,0,0,0,3,0,0,1,5,2,1,40,18,1,14,22,4,27,5,2,15,1,0,0,7,1,2,0,3,0,0,1,2,0,7,3,1,1,0,4,0,3,1,5,0,3,0,1,0,2,4,25,1,0,1,13,18,0,5,5,1,0,6,1,0,0,2
