"Mutation type","Liver-HCC::S.1","Liver-HCC::S.2","Liver-HCC::S.3","Liver-HCC::S.4","Liver-HCC::S.5","Liver-HCC::S.6","Liver-HCC::S.7","Liver-HCC::S.8","Liver-HCC::S.9","Liver-HCC::S.10","Liver-HCC::S.11","Liver-HCC::S.12","Liver-HCC::S.13","Liver-HCC::S.14","Liver-HCC::S.15","Liver-HCC::S.16","Liver-HCC::S.17","Liver-HCC::S.18","Liver-HCC::S.19","Liver-HCC::S.20","Liver-HCC::S.21","Liver-HCC::S.22","Liver-HCC::S.23","Liver-HCC::S.24","Liver-HCC::S.25","Liver-HCC::S.26","Liver-HCC::S.27","Liver-HCC::S.28","Liver-HCC::S.29","Liver-HCC::S.30","Liver-HCC::S.31","Liver-HCC::S.32","Liver-HCC::S.33","Liver-HCC::S.34","Liver-HCC::S.35","Liver-HCC::S.36","Liver-HCC::S.37","Liver-HCC::S.38","Liver-HCC::S.39","Liver-HCC::S.40","Liver-HCC::S.41","Liver-HCC::S.42","Liver-HCC::S.43","Liver-HCC::S.44","Liver-HCC::S.45","Liver-HCC::S.46","Liver-HCC::S.47","Liver-HCC::S.48","Liver-HCC::S.49","Liver-HCC::S.50","Liver-HCC::S.51","Liver-HCC::S.52","Liver-HCC::S.53","Liver-HCC::S.54","Liver-HCC::S.55","Liver-HCC::S.56","Liver-HCC::S.57","Liver-HCC::S.58","Liver-HCC::S.59","Liver-HCC::S.60","Liver-HCC::S.61","Liver-HCC::S.62","Liver-HCC::S.63","Liver-HCC::S.64","Liver-HCC::S.65","Liver-HCC::S.66","Liver-HCC::S.67","Liver-HCC::S.68","Liver-HCC::S.69","Liver-HCC::S.70","Liver-HCC::S.71","Liver-HCC::S.72","Liver-HCC::S.73","Liver-HCC::S.74","Liver-HCC::S.75","Liver-HCC::S.76","Liver-HCC::S.77","Liver-HCC::S.78","Liver-HCC::S.79","Liver-HCC::S.80","Liver-HCC::S.81","Liver-HCC::S.82","Liver-HCC::S.83","Liver-HCC::S.84","Liver-HCC::S.85","Liver-HCC::S.86","Liver-HCC::S.87","Liver-HCC::S.88","Liver-HCC::S.89","Liver-HCC::S.90","Liver-HCC::S.91","Liver-HCC::S.92","Liver-HCC::S.93","Liver-HCC::S.94","Liver-HCC::S.95","Liver-HCC::S.96","Liver-HCC::S.97","Liver-HCC::S.98","Liver-HCC::S.99"
"INS_repeats_3_1",2,1,2,2,2,0,1,0,0,1,1,0,3,0,3,3,0,0,2,1,2,3,2,2,1,2,0,3,0,1,0,1,1,0,3,0,4,0,0,0,2,0,0,3,0,4,0,1,1,3,0,0,0,0,0,1,2,0,0,0,0,2,5,12,4,2,1,0,0,2,1,0,0,2,0,3,4,2,1,1,2,5,1,0,1,0,0,4,1,1,1,1,1,0,0,2,2,0,1
"INS_repeats_3_2",0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2,2,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
"INS_repeats_3_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"INS_repeats_3_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"INS_repeats_3_5+",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0
"INS_repeats_4_0",2,2,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,1,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,1,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,1,1,1,0,2
"INS_repeats_4_1",1,0,0,3,2,2,2,1,0,4,0,0,0,0,1,3,1,2,0,0,2,1,2,0,2,2,0,0,1,3,2,2,1,0,4,0,2,1,3,0,0,0,0,1,3,0,2,2,2,1,0,1,1,0,1,1,0,0,1,0,0,3,0,2,0,0,0,0,0,0,3,0,1,3,2,1,0,1,0,0,2,2,0,0,0,0,2,0,0,0,1,0,0,2,0,2,0,1,0
"INS_repeats_4_2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"INS_repeats_4_3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"INS_repeats_4_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"INS_repeats_4_5+",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"INS_repeats_5+_0",1,3,0,0,0,0,1,1,1,0,0,2,1,0,3,2,0,0,0,0,0,1,0,5,2,1,1,1,3,1,3,0,0,2,2,0,4,0,2,1,0,0,0,0,0,4,1,2,2,2,0,2,1,1,1,0,0,2,1,0,2,2,3,4,4,2,1,0,1,0,0,2,0,2,0,0,1,1,3,0,1,0,0,0,3,0,0,1,1,0,1,0,0,0,1,5,3,1,1
"INS_repeats_5+_1",1,4,1,3,0,1,5,3,1,1,2,4,4,0,7,2,2,1,1,2,1,0,1,1,3,0,2,3,2,3,2,1,0,6,0,3,1,1,6,3,9,2,2,0,2,0,2,2,0,1,0,4,2,2,1,1,1,4,2,0,4,2,0,0,2,5,2,3,2,2,5,2,0,3,1,2,4,1,5,0,0,3,1,1,0,1,3,5,2,0,3,1,2,0,0,4,2,2,3
"INS_repeats_5+_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"INS_repeats_5+_3",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INS_repeats_5+_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"INS_repeats_5+_5+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DEL_MH_2_1",1,15,8,7,6,7,11,3,0,9,0,7,5,8,11,8,6,3,17,13,5,6,12,10,14,4,5,3,7,3,8,7,2,12,3,4,4,8,19,5,16,4,3,8,6,7,6,9,5,14,12,2,1,8,3,2,3,2,2,3,4,5,2,3,11,20,5,4,5,4,7,3,2,10,2,7,6,11,12,7,6,14,2,1,4,5,7,9,16,1,10,7,9,6,7,6,5,4,3
"DEL_MH_3_1",4,3,3,5,1,0,4,6,3,6,1,14,6,9,5,3,2,2,7,7,3,7,5,2,0,6,2,6,7,4,2,2,7,0,7,3,4,3,2,0,3,1,1,3,2,3,8,2,2,2,2,4,5,2,5,3,4,1,1,3,0,10,2,3,5,4,6,1,1,0,4,6,6,5,2,9,4,4,0,8,0,1,1,1,0,1,2,8,4,1,2,1,3,2,6,2,2,4,2
"DEL_MH_3_2",0,6,0,1,5,2,5,0,2,1,0,6,1,2,7,2,3,0,3,2,2,1,9,1,2,1,0,0,1,6,4,4,3,4,3,0,4,0,3,0,4,0,2,0,7,4,4,2,4,0,4,2,2,1,1,2,2,2,3,0,4,3,1,5,4,4,4,1,1,1,1,4,0,2,8,5,2,2,2,2,2,2,1,2,0,2,1,2,2,1,2,0,2,1,2,3,3,3,2
"DEL_MH_4_1",6,1,2,3,4,7,6,0,4,4,2,4,6,1,5,2,1,0,2,1,4,3,1,5,3,2,2,0,4,6,2,0,2,0,3,7,5,4,1,1,3,2,0,0,4,7,7,0,1,3,2,0,5,2,1,0,2,2,4,2,0,2,4,3,5,0,0,2,1,2,0,6,1,3,2,1,8,1,3,3,0,0,2,0,1,2,1,3,0,1,3,2,0,2,1,3,1,0,2
"DEL_MH_4_2",4,4,1,0,0,0,4,4,1,4,1,5,1,1,2,0,6,0,3,3,0,0,2,2,1,0,0,0,3,1,2,8,2,0,1,2,1,2,3,1,1,0,0,1,0,1,0,0,3,2,1,1,1,0,1,1,5,3,2,3,6,1,2,1,3,1,2,1,0,1,1,0,1,4,2,1,3,0,3,0,3,1,0,1,1,1,1,1,3,0,2,0,1,0,1,1,0,0,1
"DEL_MH_4_3",1,0,0,0,0,1,1,1,3,2,0,0,2,2,1,0,1,0,1,1,0,1,1,2,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,2,1,0,3,0,1,3,0,1,0,2,0,1,2,2,1,1,2,1,0,2,2,2,0,1,2,4,3,0,0,0,1,1,0,0,2,1,0,1,3,1,1,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,2
"DEL_MH_5+_1",11,41,14,18,19,7,148,53,1,13,10,38,31,21,4,5,9,10,14,22,5,27,16,17,12,20,32,3,54,75,12,3,32,16,23,35,21,7,68,15,24,25,27,1,11,13,17,4,20,8,18,22,19,30,14,13,14,3,30,35,26,18,22,73,28,12,85,9,32,21,30,14,18,31,4,18,48,33,18,8,18,39,18,15,1,41,23,26,46,19,8,8,12,56,31,22,6,12,103
"DEL_MH_5+_2",2,16,7,54,39,9,27,34,1,3,8,12,31,16,6,2,5,2,8,22,4,2,5,29,10,9,9,9,6,13,3,4,7,11,12,48,29,29,15,7,12,19,13,1,6,8,10,3,32,11,21,15,7,16,10,7,13,8,10,8,36,12,15,11,30,5,41,10,21,1,33,30,9,33,7,21,11,16,6,1,2,24,7,1,2,16,3,14,15,10,8,0,12,36,11,7,6,11,15
"DEL_MH_5+_3",8,5,5,5,31,6,17,16,2,3,0,11,10,6,5,4,3,4,6,1,2,4,4,25,5,4,6,2,3,8,4,3,6,6,3,3,6,17,14,0,4,3,1,0,3,7,2,1,14,11,6,7,5,5,6,8,5,1,1,6,13,5,13,14,5,7,10,0,2,9,10,5,5,9,6,2,3,12,0,4,1,8,5,2,2,3,20,5,7,3,2,1,8,11,4,8,4,7,5
"DEL_MH_5+_4",0,2,2,7,4,3,7,12,1,2,0,7,3,2,5,0,2,1,3,4,1,0,1,11,3,1,2,0,7,12,3,0,0,3,4,3,3,2,4,1,0,1,1,0,2,1,4,0,1,2,4,6,3,2,0,2,0,1,2,1,9,6,3,2,1,2,3,1,2,1,2,0,2,5,2,1,1,5,0,1,1,4,1,0,2,3,3,2,5,0,0,0,2,5,1,2,0,2,4
"DEL_MH_5+_5+",6,2,1,1,7,1,4,9,1,1,0,1,0,2,0,1,1,2,2,0,1,0,1,22,0,1,0,0,1,3,3,1,1,3,2,0,1,3,4,0,1,1,2,0,2,0,1,1,2,1,0,4,1,4,2,3,1,0,1,0,10,1,3,3,0,0,1,1,3,3,1,1,1,1,4,1,1,4,2,1,1,6,0,2,1,0,6,0,1,0,0,0,3,1,2,2,0,0,4
