MutationType	Kidney-RCC::S.1	Kidney-RCC::S.2	Kidney-RCC::S.3	Kidney-RCC::S.4	Kidney-RCC::S.5	Kidney-RCC::S.6	Kidney-RCC::S.7	Kidney-RCC::S.8	Kidney-RCC::S.9	Kidney-RCC::S.10	Kidney-RCC::S.11	Kidney-RCC::S.12	Kidney-RCC::S.13	Kidney-RCC::S.14	Kidney-RCC::S.15	Kidney-RCC::S.16	Kidney-RCC::S.17	Kidney-RCC::S.18	Kidney-RCC::S.19	Kidney-RCC::S.20	Kidney-RCC::S.21	Kidney-RCC::S.22	Kidney-RCC::S.23	Kidney-RCC::S.24	Kidney-RCC::S.25	Kidney-RCC::S.26	Kidney-RCC::S.27	Kidney-RCC::S.28	Kidney-RCC::S.29	Kidney-RCC::S.30	Kidney-RCC::S.31	Kidney-RCC::S.32	Kidney-RCC::S.33	Kidney-RCC::S.34	Kidney-RCC::S.35	Kidney-RCC::S.36	Kidney-RCC::S.37	Kidney-RCC::S.38	Kidney-RCC::S.39	Kidney-RCC::S.40	Kidney-RCC::S.41	Kidney-RCC::S.42	Kidney-RCC::S.43	Kidney-RCC::S.44	Kidney-RCC::S.45	Kidney-RCC::S.46	Kidney-RCC::S.47	Kidney-RCC::S.48	Kidney-RCC::S.49	Kidney-RCC::S.50	Kidney-RCC::S.51	Kidney-RCC::S.52	Kidney-RCC::S.53	Kidney-RCC::S.54	Kidney-RCC::S.55	Kidney-RCC::S.56	Kidney-RCC::S.57	Kidney-RCC::S.58	Kidney-RCC::S.59	Kidney-RCC::S.60	Kidney-RCC::S.61	Kidney-RCC::S.62	Kidney-RCC::S.63	Kidney-RCC::S.64	Kidney-RCC::S.65	Kidney-RCC::S.66	Kidney-RCC::S.67	Kidney-RCC::S.68	Kidney-RCC::S.69	Kidney-RCC::S.70	Kidney-RCC::S.71	Kidney-RCC::S.72	Kidney-RCC::S.73	Kidney-RCC::S.74	Kidney-RCC::S.75	Kidney-RCC::S.76	Kidney-RCC::S.77	Kidney-RCC::S.78	Kidney-RCC::S.79	Kidney-RCC::S.80	Kidney-RCC::S.81	Kidney-RCC::S.82	Kidney-RCC::S.83	Kidney-RCC::S.84	Kidney-RCC::S.85	Kidney-RCC::S.86	Kidney-RCC::S.87	Kidney-RCC::S.88	Kidney-RCC::S.89	Kidney-RCC::S.90	Kidney-RCC::S.91	Kidney-RCC::S.92	Kidney-RCC::S.93	Kidney-RCC::S.94	Kidney-RCC::S.95	Kidney-RCC::S.96	Kidney-RCC::S.97
TC>GA	0	2	3	2	0	1	1	0	0	8	0	0	0	0	2	6	2	2	0	0	2	0	2	1	2	0	1	0	3	2	2	0	1	3	0	1	3	0	0	2	1	3	7	4	6	4	5	9	3	0	0	2	1	4	5	2	0	2	7	1	7	0	2	10	3	6	2	2	2	0	2	2	5	1	1	0	0	5	2	2	3	2	0	1	0	1	0	0	2	0	0	3	4	0	0	7	1
TC>GG	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	1	0	0	1	0	0	4	0	0
TC>GT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG>AA	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	1	0	2	0	3	2	1	2	1	0	4	0	1	11	0	6	0	2	0	3	0	0	0	2	5	5	2	0	1	3	5	0	0	1	0	2	10	2	2	0	1	4	3	0	2	8	1	2	1	3	2	4	3	5	0	8	3	0	3	5	3	2	3	4	3	2	1	2	1	1	0	9	4	0	0	0	8	0	0
TG>AC	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	2	2	0	0	0	0	1	0	0	1	2	0	1	3	0	0	0	0	1	2	1	0	1	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	5	2	0	0	1	0	2	0	0	1	0	2	0	1	0	1	0	3	0	0
TG>AT	0	0	0	0	0	0	1	0	0	2	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	5	2	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	1	0	12	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	4	0
TG>CA	0	4	3	0	1	0	0	0	0	2	2	1	0	0	0	1	1	0	2	0	11	0	4	1	0	5	2	5	0	2	5	2	1	0	0	0	0	0	0	0	2	4	0	4	1	0	3	0	1	0	1	0	0	0	3	0	1	1	0	3	5	0	5	3	4	0	4	1	0	1	0	5	0	8	0	0	1	1	3	3	0	15	0	1	4	0	1	0	2	4	0	0	2	0	6	1	1
TG>CC	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	1	0	0	2	0	5	0	0	0	2	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	2	0	0	0	0	1	0	1	0	0	4	0	3	3	4	2	3	4	1	2	0	4	0	0	0	0	0	0	0	0	2	0	0	4	0	0	1	3	0	0	0	0	0	0	3	0	0	1	0	1	0	1	0	0	0	0
TG>CT	0	0	0	0	0	0	0	0	0	1	1	0	0	19	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	1	0	0	0	1	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG>GA	0	1	0	3	0	0	0	0	0	3	0	0	1	0	0	4	2	0	0	0	1	0	1	0	1	0	0	2	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	4	1	0	0	4	0	0	1	0	0	1	1	0	0	4	0	0	1	0	2	1	0	0	0	0	0	1	1	1	0	1	1	0	3	0	1	2	0	0	0	1	2	0	0	1	1	0	0	1	2	0	4	0	0
TG>GC	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	3	0	0	0	1	0	0	0	0	0	0
TG>GT	0	0	4	0	0	0	0	0	0	1	1	0	1	3	1	3	2	0	0	2	0	1	1	0	0	0	0	2	1	2	1	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	3	0	0	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	4	0	1	0	0	1	2	1	0	1	2	0
TT>AA	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	9	0	0	8	0	1	0	1	0	0	0	0	1	18	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	4	0	0	4	0	19	0	8	0	0	0	0	0	2	43	0	0	0	1	67	0	0	0	4	0	2	0	0	16	0	0	51	8	0	0	0	0
TT>AC	0	0	11	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	3	0	0	0	1	1	2	2	1	0	0	6	0	2	1	1	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	4	0	0	3	1	5	0	1	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	4	0	6	0	1	8	1	0	2	0	0
TT>AG	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	3	9	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	3	0	0	0	4	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	2	0	0	1	0	3	0	0	3	1	0	0	0	0
TT>CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	27	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	21	2	0	0	7	0	14	0	3	0	0	0	0	0	0	11	0	0	0	5	0	0	0	0	2	0	0	8	0	1	0	0	6	12	0	0	0	0
TT>CC	0	0	4	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	8	3	0	1	1	0	1	0	0	0	1	5	0	0	1	1	0	0	0	2	2	0	0	0	0	0	2	0	0	5	0	0	5	10	0	2	0	3
TT>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT>GA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	6	0	0	0	6	0	0	0	0
TT>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TT>GG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
