MutationType	Ovary-AdenoCA::S.1	Ovary-AdenoCA::S.2	Ovary-AdenoCA::S.3	Ovary-AdenoCA::S.4	Ovary-AdenoCA::S.5	Ovary-AdenoCA::S.6	Ovary-AdenoCA::S.7	Ovary-AdenoCA::S.8	Ovary-AdenoCA::S.9	Ovary-AdenoCA::S.10	Ovary-AdenoCA::S.11	Ovary-AdenoCA::S.12	Ovary-AdenoCA::S.13	Ovary-AdenoCA::S.14	Ovary-AdenoCA::S.15	Ovary-AdenoCA::S.16	Ovary-AdenoCA::S.17	Ovary-AdenoCA::S.18	Ovary-AdenoCA::S.19	Ovary-AdenoCA::S.20	Ovary-AdenoCA::S.21	Ovary-AdenoCA::S.22	Ovary-AdenoCA::S.23	Ovary-AdenoCA::S.24	Ovary-AdenoCA::S.25	Ovary-AdenoCA::S.26	Ovary-AdenoCA::S.27	Ovary-AdenoCA::S.28	Ovary-AdenoCA::S.29	Ovary-AdenoCA::S.30	Ovary-AdenoCA::S.31	Ovary-AdenoCA::S.32	Ovary-AdenoCA::S.33	Ovary-AdenoCA::S.34	Ovary-AdenoCA::S.35	Ovary-AdenoCA::S.36	Ovary-AdenoCA::S.37	Ovary-AdenoCA::S.38	Ovary-AdenoCA::S.39	Ovary-AdenoCA::S.40	Ovary-AdenoCA::S.41	Ovary-AdenoCA::S.42	Ovary-AdenoCA::S.43	Ovary-AdenoCA::S.44	Ovary-AdenoCA::S.45	Ovary-AdenoCA::S.46	Ovary-AdenoCA::S.47	Ovary-AdenoCA::S.48	Ovary-AdenoCA::S.49	Ovary-AdenoCA::S.50	Ovary-AdenoCA::S.51	Ovary-AdenoCA::S.52	Ovary-AdenoCA::S.53	Ovary-AdenoCA::S.54	Ovary-AdenoCA::S.55	Ovary-AdenoCA::S.56	Ovary-AdenoCA::S.57	Ovary-AdenoCA::S.58	Ovary-AdenoCA::S.59	Ovary-AdenoCA::S.60	Ovary-AdenoCA::S.61	Ovary-AdenoCA::S.62	Ovary-AdenoCA::S.63	Ovary-AdenoCA::S.64	Ovary-AdenoCA::S.65	Ovary-AdenoCA::S.66	Ovary-AdenoCA::S.67	Ovary-AdenoCA::S.68	Ovary-AdenoCA::S.69	Ovary-AdenoCA::S.70	Ovary-AdenoCA::S.71	Ovary-AdenoCA::S.72	Ovary-AdenoCA::S.73	Ovary-AdenoCA::S.74	Ovary-AdenoCA::S.75	Ovary-AdenoCA::S.76	Ovary-AdenoCA::S.77	Ovary-AdenoCA::S.78	Ovary-AdenoCA::S.79	Ovary-AdenoCA::S.80	Ovary-AdenoCA::S.81	Ovary-AdenoCA::S.82	Ovary-AdenoCA::S.83	Ovary-AdenoCA::S.84	Ovary-AdenoCA::S.85	Ovary-AdenoCA::S.86	Ovary-AdenoCA::S.87	Ovary-AdenoCA::S.88	Ovary-AdenoCA::S.89	Ovary-AdenoCA::S.90	Ovary-AdenoCA::S.91	Ovary-AdenoCA::S.92	Ovary-AdenoCA::S.93	Ovary-AdenoCA::S.94	Ovary-AdenoCA::S.95	Ovary-AdenoCA::S.96	Ovary-AdenoCA::S.97	Ovary-AdenoCA::S.98	Ovary-AdenoCA::S.99
2:Ins:R:4	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	1	0
2:Ins:R:5	1	3	5	0	2	0	1	0	3	7	5	3	3	0	4	1	2	0	3	1	1	1	0	4	2	0	0	2	2	2	2	1	0	3	0	1	1	1	0	3	1	3	3	1	1	0	2	1	1	1	1	0	2	3	0	2	4	2	1	2	3	0	3	0	0	0	2	0	2	0	1	1	1	2	2	1	0	1	0	1	4	0	3	1	0	2	1	1	1	6	3	5	1	0	4	7	2	0	1
3:Ins:R:0	0	1	1	0	0	1	0	0	1	0	0	0	0	3	2	0	0	1	0	0	0	0	0	3	0	0	0	3	0	1	0	1	0	1	0	0	0	0	2	0	0	0	1	3	2	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	2	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0
3:Ins:R:1	1	1	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	2	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0
3:Ins:R:2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1
3:Ins:R:3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:4	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
3:Ins:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:0	0	7	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	2	0	1	1	1	0	1	2	1	1	0	1	0	0	0	1	0	2	1	0	0	0	1	0	1	0	0	1	0	3	1	0	0	0	0	0	2	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	1
4:Ins:R:1	2	1	0	0	2	2	3	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	4	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	1	1	1	0	0	0	2	0	0	1	3	0	0	0	0	1	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	2	0	0
4:Ins:R:2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1
4:Ins:R:3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
4:Ins:R:4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:5	0	0	1	2	0	1	1	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	1	0
5:Ins:R:0	0	18	0	1	5	8	5	0	1	1	3	0	0	1	7	0	3	2	0	3	1	0	1	3	0	0	0	1	0	1	5	0	0	1	0	2	3	1	4	3	0	0	7	6	13	0	0	1	0	1	3	0	8	1	0	0	1	11	0	2	0	2	0	0	6	3	2	0	0	0	7	7	1	5	2	0	1	3	1	0	0	0	2	0	1	2	4	0	1	0	0	0	0	0	1	4	0	8	7
5:Ins:R:1	2	13	6	3	4	10	3	1	4	1	14	0	3	2	5	1	3	7	2	0	2	0	11	13	0	0	0	5	1	1	6	0	10	4	0	2	1	0	3	3	1	0	2	8	10	0	2	0	1	0	1	4	5	2	2	2	3	2	1	5	3	3	0	0	3	2	1	1	1	0	4	1	5	6	9	0	3	7	1	4	0	2	3	1	3	3	1	0	1	2	1	5	0	5	1	0	9	19	8
5:Ins:R:2	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	2	0	3	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	4	1	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0	1	1
5:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
5:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2:Del:M:1	2	3	14	3	1	1	18	1	0	0	11	1	22	6	5	0	0	5	3	0	5	0	8	4	0	19	1	14	27	0	6	2	4	4	13	0	17	1	1	7	0	10	5	10	1	0	15	3	1	12	2	2	5	0	6	6	1	8	0	0	5	1	22	13	3	21	0	17	11	0	18	2	4	7	15	5	2	28	1	3	1	30	21	7	4	0	6	2	0	0	19	0	1	15	1	1	5	2	2
3:Del:M:1	3	3	1	0	2	3	2	0	6	0	6	1	0	2	4	0	0	2	1	0	1	0	4	4	1	2	1	4	4	6	3	1	7	0	1	1	2	1	0	2	1	2	5	4	3	2	2	2	1	1	2	3	8	0	0	5	1	4	0	4	1	2	3	0	1	5	2	5	1	0	10	1	1	10	6	1	2	4	0	3	0	6	3	3	5	2	4	0	0	2	1	6	3	4	0	1	5	3	2
3:Del:M:2	3	4	8	1	1	2	10	0	1	2	5	0	6	3	3	0	0	2	2	3	1	1	11	4	0	4	2	3	8	1	1	0	1	2	7	4	5	2	4	5	0	3	1	7	3	0	2	1	0	0	0	1	2	0	5	0	4	3	0	0	4	4	10	3	2	5	1	10	5	1	9	1	0	4	4	3	5	4	2	4	0	2	4	11	1	2	1	0	1	3	4	0	0	6	7	4	3	7	4
4:Del:M:1	3	1	5	3	5	3	6	1	6	0	3	0	3	3	8	1	0	1	3	4	3	0	2	5	0	2	0	1	2	0	2	0	6	2	4	1	6	1	7	2	0	2	1	4	2	0	0	2	0	8	1	0	9	1	0	2	2	1	1	1	1	4	6	0	1	4	1	0	2	0	6	0	2	3	2	1	2	2	2	1	0	2	0	0	1	2	4	0	0	0	1	4	0	1	1	1	2	2	5
4:Del:M:2	0	19	2	3	8	3	6	0	4	2	8	0	6	0	4	1	7	1	4	4	6	2	6	6	1	2	1	2	7	2	3	0	3	0	4	6	7	0	6	10	0	3	9	6	11	0	4	1	1	0	0	1	11	2	0	3	4	2	0	3	1	16	3	3	5	3	2	3	1	1	16	2	1	4	7	1	3	7	1	5	1	5	7	6	1	1	12	1	3	2	2	0	1	12	4	4	5	11	4
4:Del:M:3	0	10	10	1	3	0	7	0	0	1	6	1	8	0	1	1	3	0	0	0	0	2	3	2	1	4	1	2	4	3	1	0	1	2	3	2	6	2	0	10	1	1	2	8	3	0	5	1	0	6	1	1	3	0	7	2	0	5	0	0	0	1	17	6	8	1	1	2	7	1	12	4	1	3	8	0	3	7	3	1	0	3	6	9	3	0	0	0	0	0	1	0	1	2	3	0	0	7	4
5:Del:M:1	100	217	22	18	78	90	23	7	74	18	33	2	9	71	139	6	29	274	32	35	57	1	52	178	13	0	13	29	9	153	125	24	129	39	104	58	17	7	92	30	39	29	26	152	93	0	65	19	134	48	24	17	107	12	1	21	61	82	11	72	71	136	24	7	156	69	24	4	11	4	31	43	163	64	87	130	73	180	77	24	2	25	33	47	16	54	38	1	6	33	0	87	5	62	40	17	365	140	136
5:Del:M:2	41	337	54	33	64	85	113	2	64	70	149	4	35	45	218	4	52	69	48	71	6	2	170	169	40	0	21	14	7	49	44	23	99	79	12	111	24	61	192	161	21	41	65	293	181	0	26	9	19	109	45	22	77	62	1	11	58	94	3	26	33	68	10	4	460	38	67	33	5	5	195	73	108	160	42	27	158	107	44	59	3	20	79	57	170	17	92	1	35	15	0	70	8	101	87	34	119	369	90
5:Del:M:3	15	382	33	10	32	58	124	1	50	111	107	0	23	12	148	0	11	58	30	107	17	1	102	99	47	0	18	6	2	54	42	30	20	9	2	250	32	34	95	17	6	24	39	104	223	0	8	2	14	63	36	2	74	65	0	12	41	36	2	40	22	243	12	4	601	24	29	44	2	5	174	74	66	111	42	16	105	60	2	8	1	7	36	67	92	95	127	0	20	6	0	12	1	92	135	28	87	389	115
5:Del:M:4	3	66	19	36	15	25	54	0	30	34	60	2	37	3	67	3	24	23	6	62	9	3	93	54	17	0	0	5	0	5	55	8	7	5	5	43	44	30	33	44	2	5	13	59	102	0	10	0	15	35	12	4	80	21	0	3	26	68	1	15	5	124	5	7	125	10	10	18	0	5	75	37	29	39	37	4	62	11	5	9	1	5	14	23	32	36	144	0	7	4	0	6	1	26	73	24	22	82	81
5:Del:M:5	2	142	9	9	10	30	41	1	29	37	106	1	17	3	35	0	8	9	14	80	5	1	19	44	18	0	2	3	1	4	50	12	15	10	3	40	10	8	46	14	1	9	9	44	104	0	10	2	15	16	56	0	105	10	0	0	19	115	1	16	3	88	3	4	172	33	19	16	1	2	26	15	21	30	62	9	27	15	0	12	0	1	25	35	36	57	42	0	3	6	0	3	1	10	13	16	4	200	82
