MutationType	Skin-Melanoma::S.1	Skin-Melanoma::S.2	Skin-Melanoma::S.3	Skin-Melanoma::S.4	Skin-Melanoma::S.5	Skin-Melanoma::S.6	Skin-Melanoma::S.7	Skin-Melanoma::S.8	Skin-Melanoma::S.9	Skin-Melanoma::S.10	Skin-Melanoma::S.11	Skin-Melanoma::S.12	Skin-Melanoma::S.13	Skin-Melanoma::S.14	Skin-Melanoma::S.15	Skin-Melanoma::S.16	Skin-Melanoma::S.17	Skin-Melanoma::S.18	Skin-Melanoma::S.19	Skin-Melanoma::S.20	Skin-Melanoma::S.21	Skin-Melanoma::S.22	Skin-Melanoma::S.23	Skin-Melanoma::S.24	Skin-Melanoma::S.25	Skin-Melanoma::S.26	Skin-Melanoma::S.27	Skin-Melanoma::S.28	Skin-Melanoma::S.29	Skin-Melanoma::S.30	Skin-Melanoma::S.31	Skin-Melanoma::S.32	Skin-Melanoma::S.33	Skin-Melanoma::S.34	Skin-Melanoma::S.35	Skin-Melanoma::S.36	Skin-Melanoma::S.37	Skin-Melanoma::S.38	Skin-Melanoma::S.39	Skin-Melanoma::S.40	Skin-Melanoma::S.41	Skin-Melanoma::S.42	Skin-Melanoma::S.43	Skin-Melanoma::S.44	Skin-Melanoma::S.45	Skin-Melanoma::S.46	Skin-Melanoma::S.47	Skin-Melanoma::S.48	Skin-Melanoma::S.49	Skin-Melanoma::S.50	Skin-Melanoma::S.51	Skin-Melanoma::S.52	Skin-Melanoma::S.53	Skin-Melanoma::S.54	Skin-Melanoma::S.55	Skin-Melanoma::S.56	Skin-Melanoma::S.57	Skin-Melanoma::S.58	Skin-Melanoma::S.59	Skin-Melanoma::S.60	Skin-Melanoma::S.61	Skin-Melanoma::S.62	Skin-Melanoma::S.63	Skin-Melanoma::S.64	Skin-Melanoma::S.65	Skin-Melanoma::S.66	Skin-Melanoma::S.67	Skin-Melanoma::S.68	Skin-Melanoma::S.69	Skin-Melanoma::S.70	Skin-Melanoma::S.71	Skin-Melanoma::S.72	Skin-Melanoma::S.73	Skin-Melanoma::S.74	Skin-Melanoma::S.75	Skin-Melanoma::S.76	Skin-Melanoma::S.77	Skin-Melanoma::S.78	Skin-Melanoma::S.79	Skin-Melanoma::S.80	Skin-Melanoma::S.81	Skin-Melanoma::S.82	Skin-Melanoma::S.83	Skin-Melanoma::S.84	Skin-Melanoma::S.85	Skin-Melanoma::S.86	Skin-Melanoma::S.87	Skin-Melanoma::S.88	Skin-Melanoma::S.89	Skin-Melanoma::S.90	Skin-Melanoma::S.91	Skin-Melanoma::S.92	Skin-Melanoma::S.93	Skin-Melanoma::S.94	Skin-Melanoma::S.95	Skin-Melanoma::S.96	Skin-Melanoma::S.97	Skin-Melanoma::S.98	Skin-Melanoma::S.99
3:Ins:R:0	2	0	0	1	0	4	0	5	3	1	0	4	0	0	1	1	0	1	0	2	0	2	0	1	1	5	2	2	0	0	5	1	0	1	2	4	1	1	0	4	2	0	3	1	3	0	2	0	0	2	0	0	0	4	1	1	1	1	2	5	1	2	1	1	1	1	0	0	2	3	0	3	0	0	0	0	3	0	2	0	0	0	0	1	0	1	1	0	2	3	1	1	2	1	0	0	0	2	1
3:Ins:R:1	3	2	3	0	1	1	1	3	5	2	3	6	4	1	2	2	7	3	4	7	0	1	5	4	7	5	4	1	0	3	2	4	1	5	0	6	4	2	0	0	4	3	6	2	11	1	2	2	3	1	1	1	1	8	5	4	7	2	0	2	4	8	3	11	2	3	0	2	5	1	6	3	2	3	0	0	3	0	3	4	2	3	1	7	0	2	1	2	5	3	2	0	7	2	1	0	2	0	1
3:Ins:R:2	0	0	0	0	1	1	0	1	1	0	0	0	0	0	2	2	2	0	0	1	0	1	0	0	3	1	1	2	0	0	0	0	0	2	0	1	1	0	0	0	2	1	3	2	2	0	0	0	0	0	0	0	0	0	1	0	4	0	0	2	1	2	0	0	0	1	0	1	0	2	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
3:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
3:Ins:R:5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
4:Ins:R:0	2	0	0	2	2	1	0	3	1	0	2	1	2	0	0	0	3	1	1	4	0	1	1	4	5	2	1	0	0	3	0	2	0	4	1	0	1	1	1	1	0	0	0	0	1	1	3	0	0	3	1	2	0	6	0	1	3	0	0	1	1	3	0	2	1	1	1	2	0	1	1	1	0	0	0	0	1	1	2	0	1	0	0	2	1	0	0	0	0	1	1	0	1	0	3	1	1	0	1
4:Ins:R:1	3	2	3	2	1	0	1	1	2	1	1	4	0	1	0	2	4	2	2	5	1	1	1	4	7	3	2	1	0	1	6	0	1	0	0	3	3	5	2	1	1	2	2	2	5	3	3	1	2	2	0	1	1	3	5	2	1	2	1	3	0	8	0	2	0	0	3	2	0	6	1	1	2	4	1	2	5	0	0	2	0	4	0	15	1	0	1	0	5	1	2	1	4	3	1	1	0	1	4
4:Ins:R:2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
4:Ins:R:5	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	2	1	2	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	1	2	3	0	1	0	1	0	1	2	1	0	0	3	1	0	1	0	0	1
5:Ins:R:0	0	0	2	7	1	0	2	3	5	1	3	6	2	1	2	3	2	1	1	10	0	0	2	2	8	2	2	1	0	3	0	2	3	2	0	1	0	2	0	1	18	0	1	5	3	2	9	3	2	3	4	1	3	8	3	1	1	1	2	0	2	2	0	4	0	3	1	2	1	5	5	1	4	2	0	1	0	0	1	0	2	2	2	4	0	0	1	3	0	1	1	1	3	2	2	2	0	1	4
5:Ins:R:1	5	19	12	3	12	6	3	3	7	6	4	18	0	7	9	5	14	18	3	5	7	5	10	7	6	8	4	1	4	1	9	2	7	15	0	2	5	5	0	6	7	6	9	3	11	10	5	6	1	9	5	2	2	29	11	2	7	1	8	7	3	10	2	24	1	4	1	3	2	23	3	1	10	9	2	3	5	2	2	0	4	19	3	22	0	1	3	6	7	4	3	1	14	0	5	5	10	0	7
5:Ins:R:2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
5:Ins:R:3	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5:Ins:R:5	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2:Del:M:1	122	27	22	4	27	6	6	10	12	4	5	22	6	0	20	56	567	19	6	15	2	6	11	12	64	18	10	5	0	4	5	2	4	26	5	8	4	12	3	5	14	5	14	26	18	14	7	1	4	4	13	8	1	35	22	4	20	6	4	8	4	333	7	20	1	16	8	10	5	18	10	7	11	18	1	6	15	3	12	15	122	3	1	12	7	6	1	13	92	5	4	4	23	7	6	13	10	2	6
3:Del:M:1	11	7	4	9	1	4	2	5	11	6	2	6	3	0	6	12	40	11	4	11	5	0	1	4	6	10	2	7	0	0	18	1	2	10	1	3	7	4	5	4	16	4	4	8	2	1	7	0	0	2	3	1	3	34	3	6	3	4	1	1	6	20	11	5	1	1	3	0	3	14	9	5	6	1	1	3	7	1	1	3	12	4	1	9	4	3	1	6	7	2	0	3	12	10	12	6	2	5	7
3:Del:M:2	11	2	4	4	6	6	1	7	2	4	4	8	0	1	9	26	190	4	1	9	6	0	3	1	9	3	5	3	0	0	3	2	1	5	1	4	0	7	3	4	3	0	3	6	3	1	8	3	1	4	1	3	1	2	1	1	9	3	2	0	7	102	2	1	0	4	1	1	1	6	0	5	3	0	1	0	10	2	2	0	23	3	0	9	3	1	3	0	59	1	3	3	10	2	3	0	0	4	2
4:Del:M:1	4	2	3	3	3	0	2	5	6	1	3	12	1	0	3	6	7	5	4	3	4	1	0	1	11	8	4	6	0	1	3	1	1	6	0	7	2	4	2	3	15	4	6	5	2	1	4	0	1	2	1	1	3	16	2	2	2	1	1	3	0	30	2	1	1	2	3	3	5	11	4	5	5	0	0	6	9	0	9	0	3	2	0	9	0	0	4	2	17	0	2	2	10	5	4	3	2	1	11
4:Del:M:2	19	1	3	0	0	1	4	4	5	1	1	7	4	0	4	12	106	0	0	6	0	5	1	1	3	2	2	0	0	0	1	3	1	2	0	0	0	2	1	1	8	0	5	1	2	1	1	0	3	0	0	3	0	2	2	0	4	1	1	1	7	73	1	3	1	1	0	1	1	6	6	0	4	0	0	1	4	0	4	1	6	2	0	4	1	2	0	3	60	2	0	3	3	0	1	3	0	2	4
4:Del:M:3	19	0	2	1	9	0	2	3	1	0	0	2	0	0	0	20	216	2	0	4	0	0	2	0	2	2	0	0	0	0	3	2	1	3	1	1	1	3	0	0	5	0	1	2	1	0	2	1	1	1	1	1	3	4	2	1	0	1	0	1	0	68	3	2	1	0	0	1	0	1	1	1	0	0	0	0	1	0	2	1	13	0	0	2	3	0	1	1	21	2	0	0	2	1	0	3	1	0	0
5:Del:M:1	17	27	72	13	47	111	48	218	14	121	29	84	3	8	55	8	112	97	5	80	133	11	10	57	31	97	15	158	5	24	25	4	19	48	0	3	24	6	27	7	23	44	7	45	93	9	72	4	4	30	60	13	8	76	53	12	7	60	81	32	28	177	37	71	13	15	22	16	49	112	18	26	10	23	17	44	56	0	22	5	6	31	1	136	12	64	7	58	22	31	16	32	242	20	140	44	128	25	7
5:Del:M:2	5	12	14	13	24	17	27	33	5	95	8	48	1	0	82	9	20	7	5	30	90	14	8	51	11	52	9	23	10	15	18	4	32	22	0	2	12	20	9	2	15	15	7	80	18	8	22	3	2	37	34	19	8	26	29	0	2	59	8	35	5	31	71	13	6	11	14	6	31	53	6	10	7	8	5	28	14	0	15	2	1	27	3	52	3	44	3	25	28	7	14	21	60	12	40	33	25	52	10
5:Del:M:3	4	11	15	6	11	9	2	26	8	27	12	12	3	0	1	3	37	12	3	28	19	4	8	8	6	8	6	17	0	4	8	3	7	5	0	1	8	4	10	1	6	9	5	5	4	1	8	2	0	5	3	13	3	11	7	3	3	7	8	5	11	19	16	11	3	2	8	4	6	47	7	7	2	4	4	6	7	0	4	0	5	6	5	26	4	7	0	3	9	3	7	4	32	12	27	7	13	13	5
5:Del:M:4	2	3	2	1	2	3	2	4	5	2	6	3	1	0	4	2	8	7	0	7	7	1	0	2	1	3	2	3	1	1	3	0	2	3	0	0	0	1	0	0	1	5	2	3	7	0	3	0	0	3	0	5	0	7	2	3	3	4	2	5	3	17	1	1	1	0	0	2	3	9	2	0	2	2	0	3	6	0	4	2	2	4	0	16	1	4	1	6	10	4	2	1	7	7	9	3	5	6	2
5:Del:M:5	7	3	7	1	10	3	4	1	1	9	2	5	1	3	9	9	6	11	1	9	13	3	5	9	3	9	4	4	0	3	3	1	7	2	0	2	5	2	1	2	1	4	3	11	24	5	7	6	0	13	8	2	1	23	7	1	0	7	2	3	1	13	2	18	1	3	7	1	3	19	10	1	6	7	0	2	4	4	0	2	0	6	2	33	1	5	2	5	5	9	14	6	20	1	3	8	7	3	2
